elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.143,40228,74412,74412,1874868,76672,25,35,660342610,12
1.406,40228,375560,375560,2488016,74824,50,437,660344132,12
2.692,40228,400380,400380,2500048,74608,50,1010,660345659,12
3.95,40228,410644,410644,2508240,74584,50,1568,660347177,12
5.245,40228,416896,416896,2514128,74572,50,2074,660348738,12
6.534,40228,423588,424120,2548688,74560,50,2521,660350272,12
7.798,40228,440140,440140,2561744,74548,50,3045,660351803,12
9.075,40228,424860,444048,2547152,73072,50,3577,660353344,12
10.372,40228,426068,444048,2547152,73068,50,4118,660354895,12
11.664,40228,408780,444048,2528208,73068,50,4646,660356437,12
12.943,40228,408744,444048,2525392,72992,50,5161,660357972,12
14.222,40228,403816,444048,2523536,72952,48,5659,660359509,12
15.515,40228,404988,444048,2523248,72944,47,6201,660361056,12
16.796,40228,412580,444048,2525776,72944,46,6718,660362601,12
18.084,40228,413328,444048,2528336,72944,46,7228,660364160,12
19.393,40228,419032,444048,2528048,72944,45,7773,660365721,12
20.695,40228,420420,444048,2528560,72944,45,8337,660367276,12
22.024,40228,417488,444048,2528560,72944,45,8634,660368905,12
