elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.137,44548,70024,70024,1874324,76640,24,35,660582310,12
1.411,44548,370272,370272,2492080,74836,49,415,660583830,12
2.664,44548,384660,384660,2501808,74680,49,994,660585344,12
3.943,44548,394416,394416,2510000,74604,49,1598,660586878,12
5.215,44548,402064,403044,2518448,74580,49,2094,660588396,12
6.485,44548,414368,414368,2526640,74556,49,2598,660589926,12
7.764,44548,422084,422688,2534832,74540,49,3135,660591467,12
9.072,44548,416140,432196,2524080,73064,49,3705,660593034,12
10.35,44548,410824,432196,2516656,73060,49,4245,660594574,12
11.63,44548,412256,432196,2516912,73060,49,4766,660596107,12
12.928,44548,407296,432196,2511792,73040,49,5324,660597665,12
14.26,44548,397084,432196,2507888,73036,47,5681,660599301,12
