elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,42077,69948,69948,1875380,76660,25,37,660466054,12
1.41,42077,373908,373908,2487216,74816,49,426,660467580,12
2.673,42077,381128,381244,2495408,74712,49,992,660469084,12
3.948,42077,397184,397396,2505392,74632,49,1252,660470652,12
5.247,42077,397872,397872,2507696,74620,49,1488,660472239,12
6.571,42077,396488,398760,2509744,74604,49,1734,660473781,12
7.862,42077,401208,401208,2512048,74588,49,1961,660475327,12
9.175,42077,403616,404820,2514352,74580,49,2204,660476905,12
10.517,42077,396016,406020,2502320,73088,49,2403,660478505,12
11.824,42077,395600,406020,2502320,73088,49,2644,660480114,12
13.174,42077,398972,406020,2502320,73084,49,2956,660481754,12
