elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,45111,69584,69584,1875380,76676,25,26,660618056,12
1.385,45111,372084,385668,2487984,74748,49,401,660619582,12
2.655,45111,381920,385668,2496176,74660,49,989,660621109,12
3.922,45111,391988,391988,2504624,74608,49,1515,660622615,12
5.193,45111,399272,399272,2539440,74600,49,2035,660624157,12
6.473,45111,407088,407088,2545840,74572,49,2472,660625686,12
7.773,45111,414000,414000,2551216,74572,49,2973,660627244,12
9.04,45111,426608,443452,2558640,73056,49,3428,660628784,12
10.341,45111,419132,443452,2546096,73028,49,3944,660630334,12
11.623,45111,420848,443452,2546352,73028,49,4456,660631880,12
12.91,45111,411976,443452,2537392,73028,49,4985,660633420,12
14.196,45111,409724,443452,2531696,73028,47,5501,660634955,12
15.495,45111,423500,443452,2532432,68988,46,6028,660636522,12
16.781,45111,423240,443452,2532944,68968,46,6582,660638061,12
18.056,45111,427180,443452,2534736,68960,46,7105,660639597,12
19.343,45111,431868,443452,2536464,68960,44,7592,660641134,12
20.634,45111,434240,443452,2537232,68960,44,8112,660642685,12
21.925,45111,435508,443452,2537264,68560,45,8644,660644256,12
23.242,45111,419280,443452,2537264,68560,45,9162,660645823,12
24.543,45111,420144,443452,2537264,68560,45,9711,660647383,12
25.831,45111,422348,443452,2537776,68560,45,10253,660648923,12
27.125,45111,421180,443452,2537776,68560,45,10763,660650475,12
28.426,45111,425788,443452,2537776,68560,45,11349,660652028,12
