elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,41598,60216,60216,1864560,80456,24,24,660433872,12
1.411,41598,378768,378768,2501296,74828,49,426,660435419,12
2.683,41598,394392,394392,2512304,74628,49,1025,660436936,12
3.945,41598,404900,404900,2520496,74592,49,1587,660438444,12
5.208,41598,411236,412000,2527152,74576,49,2066,660439975,12
6.485,41598,419256,419256,2533040,74564,49,2539,660441509,12
7.763,41598,433556,434116,2545328,74548,49,3050,660443042,12
9.062,41598,424988,439776,2531760,73068,49,3595,660444608,12
10.353,41598,425972,439776,2531760,73064,49,4125,660446153,12
11.662,41598,408852,439776,2512816,73064,49,4682,660447722,12
12.946,41598,409100,439776,2510000,72964,49,5200,660449265,12
14.228,41598,401228,439776,2508144,72952,47,5719,660450804,12
15.51,41598,402252,439776,2506800,72940,45,6224,660452332,12
16.788,41598,411660,439776,2510384,72940,45,6768,660453878,12
18.085,41598,413072,439776,2512944,72940,45,7299,660455444,12
19.379,41598,418124,439776,2513168,72940,44,7834,660456977,12
20.673,41598,419508,439776,2513424,72940,44,8411,660458538,12
21.945,41598,422168,439776,2513680,72940,44,8929,660460073,12
23.281,41598,418568,439776,2514448,72940,44,9298,660461682,12
