elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.13,41431,70572,70572,1865396,76656,25,28,660403539,12
1.392,41431,378344,378344,2486960,74816,49,429,660405062,12
2.658,41431,397140,397140,2527920,74596,49,1009,660406582,12
3.931,41431,407020,407020,2535856,74576,49,1577,660408098,12
5.205,41431,413028,414356,2542256,74564,49,2057,660409641,12
6.497,41431,422972,422972,2548912,74552,49,2570,660411193,12
7.791,41431,437040,437040,2560688,74536,49,3085,660412741,12
9.082,41431,427228,442644,2547376,73056,49,3612,660414294,12
10.373,41431,429296,442644,2547632,73052,49,4155,660415848,12
11.674,41431,411396,442644,2527920,73052,49,4670,660417401,12
12.967,41431,411056,442644,2525144,72984,49,5198,660418956,12
14.239,41431,408364,442644,2523248,68076,47,5728,660420491,12
15.547,41431,408748,442644,2522448,68076,46,6266,660422061,12
16.844,41431,415476,442644,2526288,68076,46,6786,660423613,12
18.141,41431,419280,442644,2529360,68076,46,7335,660425162,12
19.42,41431,423016,442644,2528816,68076,45,7854,660426710,12
20.707,41431,424608,442644,2530352,68076,45,8399,660428250,12
22.034,41431,426160,442644,2530608,68076,45,8705,660429881,12
