elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.117,43661,54964,54964,1861928,81368,23,26,660537991,12
1.38,43661,273080,283684,2767340,75164,51,179,660539485,12
2.634,43661,486424,486424,2820876,74724,52,552,660540996,12
3.913,43661,496748,496940,2823692,74644,52,808,660542553,12
5.198,43661,496448,497460,2825996,74612,52,1032,660544079,12
6.522,43661,495100,497460,2828300,74584,52,1209,660545703,12
7.848,43661,499196,499344,2829580,74584,52,1566,660547269,12
9.145,43661,508068,509068,2835468,74528,52,1861,660548805,12
10.425,43661,509856,511760,2833460,73032,52,2238,660550360,12
11.765,43661,514352,518172,2833420,68132,52,2550,660551985,12
13.08,43661,515260,518172,2833420,68132,52,2824,660553556,12
14.385,43661,515088,518172,2832404,68132,51,2994,660555147,12
15.709,43661,509412,518172,2824652,68120,50,3329,660556698,12
17.038,43661,504540,518172,2821484,68120,47,3366,660558330,12
