elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.125,46529,69456,69456,1875668,76696,26,32,660773460,12
1.386,46529,237740,293328,2757932,75108,29,193,660774976,12
2.673,46529,301820,331296,2817516,74792,51,310,660776517,12
3.958,46529,479760,479760,2819820,74736,51,562,660778091,12
5.304,46529,482500,483688,2822380,74708,51,808,660779715,12
6.622,46529,486352,486556,2824684,74668,51,1057,660781286,12
7.933,46529,489904,489904,2827244,74632,51,1309,660782842,12
9.225,46529,493332,493332,2829804,74612,51,1536,660784382,12
10.532,46529,496264,496264,2832364,74580,51,1744,660785944,12
11.813,46529,516576,516576,2833388,73088,51,1998,660787488,12
13.104,46529,516632,520760,2833388,73040,51,2219,660789050,12
14.426,46529,490256,520760,2832332,73020,50,2469,660790655,12
15.774,46529,490424,520760,2830220,73008,48,2716,660792287,12
17.114,46529,484644,520760,2822764,73000,47,2983,660793891,12
18.468,46529,485068,520760,2822764,72996,47,3239,660795506,12
19.777,46529,485812,520760,2821708,72996,46,3481,660797062,12
21.067,46529,481756,520760,2817868,72996,46,3732,660798607,12
22.364,46529,528232,528232,2818668,72968,47,3999,660800150,12
23.685,46529,530568,530568,2818668,72968,47,4105,660801766,12
24.034,46529,530568,530568,2818668,72968,47,4105,660802192,12
25.354,46529,530568,530568,2818668,72968,47,4105,660803782,12
26.673,46529,530568,530568,2818668,72968,47,4105,660805355,12
27.982,46529,530568,530568,2818668,72968,47,4105,660806922,12
29.288,46529,530568,530568,2818668,72968,47,4105,660808509,12
30.611,46529,519068,530640,2817612,72968,46,4107,660810079,12
31.921,46529,516064,530640,2817612,72968,46,4107,660811651,12
33.232,46529,516064,530640,2817612,72968,46,4107,660813185,12
34.526,46529,516064,530640,2817612,72968,46,4107,660814784,12
35.863,46529,516056,530640,2816556,72968,45,4108,660816395,12
37.185,46529,515928,530640,2815500,72968,44,4109,660817975,12
38.494,46529,509048,530640,2809132,68592,45,4124,660819569,12
39.833,46529,509048,530640,2809132,68592,45,4124,660821152,12
41.141,46529,507512,530640,2809132,68592,45,4129,660822727,12
42.475,46529,500220,530640,2808076,68592,44,4129,660824320,12
43.786,46529,500220,530640,2808076,68592,44,4129,660825915,12
45.129,46529,500220,530640,2808076,68592,44,4129,660827509,12
46.447,46529,495868,530640,2807020,68592,43,4131,660829105,12
47.786,46529,495868,530640,2807020,68592,43,4131,660830686,12
49.085,46529,495868,530640,2807020,68592,43,4131,660832227,12
50.385,46529,495868,530640,2807020,68592,43,4131,660833788,12
51.692,46529,495868,530640,2807020,68592,43,4131,660835390,12
53.029,46529,495884,530640,2808076,68592,44,4131,660836966,12
54.344,46529,495844,530640,2807020,68592,43,4131,660838555,12
55.656,46529,495844,530640,2807020,68592,43,4131,660840147,12
56.995,46529,495844,530640,2807020,68592,43,4131,660841745,12
58.306,46529,495796,530640,2805964,68592,42,4131,660843333,12
59.634,46529,495796,530640,2805964,68592,42,4131,660844906,12
60.948,46529,495796,530640,2805964,68592,42,4131,660846464,12
62.238,46529,495796,530640,2805964,68592,42,4131,660848052,12
63.574,46529,495796,530640,2805964,68592,42,4131,660849642,12
64.896,46529,495796,530640,2805964,68592,42,4131,660851239,12
66.218,46529,495796,530640,2805964,68592,42,4131,660852807,12
67.534,46529,495744,530640,2804908,68592,41,4131,660854389,12
68.85,46529,495744,530640,2804908,68592,41,4131,660855960,12
70.176,46529,495744,530640,2804908,68592,41,4131,660857579,12
71.518,46529,495744,530640,2804908,68592,41,4131,660859191,12
72.853,46529,495744,530640,2804908,68592,41,4131,660860787,12
74.176,46529,495744,530640,2804908,68592,41,4131,660862369,12
75.505,46529,495744,530640,2804908,68592,41,4131,660863955,12
76.83,46529,495792,530640,2805964,68592,42,4132,660865564,12
78.175,46529,495792,530640,2805964,68592,42,4132,660867174,12
79.508,46529,495792,530640,2805964,68592,42,4132,660868759,12
80.83,46529,495792,530640,2805964,68592,42,4132,660870348,12
82.143,46529,495792,530640,2805964,68592,42,4132,660871927,12
83.481,46529,495792,530640,2805964,68592,42,4132,660873536,12
