elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,46915,69656,69656,1866900,76656,24,43,660878682,12
1.399,46915,281420,283788,2764716,75176,49,183,660880175,12
2.655,46915,478860,478860,2772908,74732,49,715,660881699,12
3.934,46915,482268,482268,2775724,74632,49,830,660883236,12
5.239,46915,484900,485184,2778284,74608,49,1063,660884797,12
6.517,46915,486796,488568,2780332,74596,49,1384,660886334,12
7.798,46915,497712,497712,2787756,74540,49,1847,660887882,12
9.161,46915,503344,503344,2792620,74500,49,2191,660889518,12
10.497,46915,494936,506396,2784684,73024,49,2440,660891158,12
11.848,46915,497364,506396,2813356,73020,49,2708,660892735,12
13.178,46915,501524,506396,2813356,68136,49,2925,660894358,12
