elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,46031,69872,69872,1876436,76676,26,28,660753796,12
1.387,46031,270344,280152,2731472,75160,50,180,660755299,12
2.659,46031,466496,469600,2772172,74680,50,719,660756820,12
3.912,46031,475768,475768,2778828,74588,50,1220,660758327,12
5.184,46031,486140,487416,2788812,74532,50,1700,660759866,12
6.455,46031,499500,499500,2796236,74496,50,2176,660761393,12
7.756,46031,504240,507592,2801868,74480,50,2630,660762967,12
9.038,46031,498708,513424,2791372,72996,50,3123,660764491,12
10.325,46031,499684,513424,2791372,72988,50,3629,660766036,12
11.608,46031,496852,513424,2781900,68092,50,4079,660767576,12
12.944,46031,491804,513424,2781900,68092,50,4275,660769204,12
