elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.143,24658,69084,69084,1875380,85508,25,46,1229117709,12
1.453,24658,360480,360664,2486960,84776,49,440,1229119266,12
2.734,24658,383184,383184,2495920,84648,49,1051,1229120801,12
4.011,24658,392736,392940,2504368,84584,49,1578,1229122331,12
5.282,24658,402016,402016,2540208,84548,49,2122,1229123864,12
6.565,24658,410216,410688,2547888,84520,49,2554,1229125431,12
7.873,24658,419920,419920,2556336,84516,49,3074,1229126989,12
9.176,24658,395580,423028,2535088,83024,49,3562,1229128539,12
10.478,24658,397036,423028,2535344,83020,49,4126,1229130107,12
11.784,24658,399236,423028,2535600,83020,49,4602,1229131669,12
13.082,24658,394328,423028,2528944,83000,49,5151,1229133224,12
14.381,24658,387324,423028,2524272,82996,47,5661,1229134816,12
15.717,24658,388708,423028,2522704,82932,46,6230,1229136395,12
17.033,24658,397588,423028,2523696,82900,45,6802,1229137964,12
18.318,24658,399124,423028,2528304,82900,45,7231,1229139507,12
19.631,24658,405144,423028,2532624,82896,44,7811,1229141096,12
20.942,24658,412520,423028,2533648,78940,44,8233,1229142665,12
22.243,24658,414848,423028,2533904,78940,44,8807,1229144222,12
23.552,24658,421800,423028,2534672,78940,44,9266,1229145795,12
24.858,24658,400768,423028,2534192,78540,45,9871,1229147363,12
26.175,24658,398344,423028,2534192,78540,45,10364,1229148964,12
27.501,24658,403752,423028,2534192,78540,45,10941,1229150542,12
28.809,24658,400196,423028,2534704,78540,45,11478,1229152142,12
30.143,24658,401652,423028,2534704,78540,45,11979,1229153702,12
31.441,24658,403600,423028,2535216,78540,45,12528,1229155268,12
32.754,24658,409768,423028,2536272,78540,46,13019,1229156840,12
34.08,24658,408884,423028,2536272,78540,46,13594,1229158440,12
35.381,24658,407324,423028,2535728,78540,45,14020,1229159992,12
36.671,24658,409140,423028,2536240,78540,45,14579,1229161529,12
37.965,24658,407532,423028,2536240,78540,45,15064,1229163088,12
39.26,24658,397540,423028,2531088,78516,44,15626,1229164641,12
40.545,24658,396880,423028,2531088,78516,44,16180,1229166207,12
41.864,24658,399240,423028,2531600,78516,44,16622,1229167774,12
43.17,24658,401208,423028,2532112,78516,44,17201,1229169330,12
44.455,24658,402528,423028,2532112,78516,44,17680,1229170885,12
45.754,24658,401392,423028,2532112,78516,44,18236,1229172430,12
47.056,24658,405444,423028,2533680,78516,45,18734,1229173999,12
48.346,24658,412244,423028,2534192,78516,45,19290,1229175540,12
49.634,24658,413936,423028,2534192,78516,45,19772,1229177081,12
50.943,24658,409524,423028,2533136,78516,44,20340,1229178659,12
52.239,24658,401652,423028,2533168,78516,45,20830,1229180258,12
53.565,24658,401744,423028,2533168,78516,45,21347,1229181815,12
54.881,24658,402944,423028,2533680,78516,45,21871,1229183395,12
56.195,24658,403016,423028,2533680,78516,45,22341,1229184965,12
57.504,24658,400432,423028,2533680,78516,45,22911,1229186536,12
58.838,24658,399948,423028,2534192,78516,45,23203,1229188177,12
59.231,24658,399948,423028,2534192,78516,45,23203,1229188667,12
60.572,24658,399948,423028,2534192,78516,45,23203,1229190262,12
61.908,24658,399948,423028,2534192,78516,45,23203,1229191873,12
63.25,24658,392160,423028,2533136,78516,44,23204,1229193469,12
