elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,22171,45480,45480,1860328,91320,21,23,1229004181,12
1.395,22171,250772,277252,2765228,85132,49,177,1229005694,12
2.673,22171,281596,315376,2796716,84772,49,308,1229007249,12
3.98,22171,432200,458656,2832044,84712,49,536,1229008832,12
5.304,22171,433904,458656,2834604,84680,49,784,1229010425,12
6.62,22171,438512,458656,2836652,84644,49,1035,1229012005,12
7.936,22171,442216,458656,2839468,84608,49,1286,1229013564,12
9.235,22171,446444,458656,2842028,84588,49,1510,1229015114,12
10.539,22171,449292,458656,2844844,84544,49,1699,1229016688,12
11.85,22171,499680,499680,2845868,83068,49,1946,1229018261,12
13.19,22171,510120,511484,2845868,83028,49,2163,1229019912,12
