elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.136,52031,64864,64864,1875380,86512,25,38,1232985851,12
1.399,52031,365500,365500,2487504,84716,50,431,1232987354,12
2.677,52031,375172,375248,2495952,84620,50,1009,1232988890,12
3.936,52031,384992,384992,2503632,84572,50,1550,1232990404,12
5.211,52031,392840,392840,2509776,84564,50,2027,1232991944,12
6.503,52031,400000,400000,2516176,84544,50,2458,1232993483,12
7.799,52031,410672,410672,2524112,84532,50,2941,1232995083,12
9.122,52031,412400,429196,2522320,83036,50,3530,1232996648,12
9.469,52031,412212,429196,2522320,83032,50,3530,1232997090,12
10.802,52031,412216,429196,2522320,83028,50,3530,1232998682,12
12.119,52031,412216,429196,2522320,83028,50,3530,1233000284,12
13.456,52031,412216,429196,2522320,83028,50,3530,1233001878,12
