elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.127,48622,45868,45868,1870088,91392,22,25,1232796916,12
1.428,48622,168032,168032,2452656,84864,49,124,1232798466,12
2.727,48622,357248,364608,2485680,84800,49,360,1232800036,12
4.019,48622,361088,364608,2487728,84780,49,549,1232801621,12
5.365,48622,363716,364608,2490032,84732,49,795,1232803237,12
6.694,48622,366812,368036,2492336,84696,49,1032,1232804819,12
8.072,48622,377608,377608,2496688,84644,49,1249,1232806483,12
8.446,48622,377608,377608,2496688,84644,49,1249,1232806921,12
9.757,48622,377608,377608,2496688,84644,49,1249,1232808498,12
11.09,48622,377612,377612,2496688,84640,49,1249,1232810106,12
12.418,48622,377612,377612,2496688,84640,49,1249,1232811694,12
