elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.14,54376,63908,63908,1868212,86500,25,43,1233121963,12
1.445,54376,361920,368812,2501808,84788,49,465,1233123518,12
2.722,54376,372332,372332,2510256,84660,49,1052,1233125054,12
4.004,54376,380836,381496,2518704,84596,49,1522,1233126593,12
5.289,54376,390304,390304,2525872,84560,49,2080,1233128141,12
6.601,54376,399112,399112,2533296,84532,49,2449,1233129708,12
7.881,54376,408668,408668,2542256,84528,49,3006,1233131263,12
9.192,54376,390844,412224,2521264,83036,49,3467,1233132818,12
10.495,54376,393276,412224,2521520,83032,49,4044,1233134392,12
11.801,54376,394420,412224,2521776,83032,49,4539,1233135951,12
13.103,54376,388912,412224,2514864,83012,49,5075,1233137522,12
14.409,54376,386736,412224,2510192,83012,47,5638,1233139097,12
15.728,54376,388288,412224,2509680,82968,47,6083,1233140670,12
17.031,54376,391644,412224,2510160,82956,46,6615,1233142222,12
18.318,54376,395800,412224,2514000,82956,46,7097,1233143777,12
19.614,54376,403264,412224,2518288,82956,44,7675,1233145331,12
20.938,54376,409908,412224,2519824,78996,44,8144,1233146925,12
22.232,54376,408576,412224,2520080,78996,44,8699,1233148461,12
23.514,54376,400092,412828,2548272,78600,45,9278,1233150027,12
24.829,54376,398496,412828,2548784,78600,45,9773,1233151597,12
26.137,54376,399304,412828,2549296,78600,45,10312,1233153164,12
27.458,54376,399388,412828,2549296,78600,45,10802,1233154751,12
28.738,54376,400964,412828,2549296,78600,45,11360,1233156276,12
30.013,54376,400396,412828,2549808,78600,45,11788,1233157802,12
31.293,54376,409616,412828,2551376,78600,46,12350,1233159337,12
32.567,54376,410664,416648,2552432,78600,47,12847,1233160917,12
33.903,54376,407124,416648,2551376,78600,46,13355,1233162470,12
35.191,54376,408172,416648,2551376,78600,46,13882,1233164028,12
36.486,54376,402824,416648,2547792,78580,46,14355,1233165575,12
37.763,54376,398228,416648,2546992,78580,45,14914,1233167104,12
39.052,54376,399808,416648,2546992,78580,45,15363,1233168656,12
40.329,54376,400444,416648,2546992,78576,45,15918,1233170184,12
41.6,54376,399276,416648,2546992,78576,45,16430,1233171746,12
42.916,54376,402580,416648,2547504,78564,45,16935,1233173302,12
44.222,54376,403444,416648,2548016,78560,45,17444,1233174867,12
45.526,54376,403432,416648,2548016,78560,45,17917,1233176430,12
46.826,54376,406920,416648,2548016,78560,45,18487,1233177990,12
48.122,54376,403944,416648,2548528,78560,45,18929,1233179547,12
49.431,54376,410104,416648,2549040,78560,45,19504,1233181121,12
50.737,54376,400100,416648,2546480,78560,45,20042,1233182719,12
52.068,54376,396948,416648,2546736,78560,45,20556,1233184270,12
53.367,54376,398360,416648,2546736,78560,45,21077,1233185835,12
54.661,54376,401808,416648,2547248,78560,45,21546,1233187400,12
55.97,54376,403680,416648,2547760,78560,45,22113,1233188963,12
57.29,54376,399796,416648,2547760,78560,45,22559,1233190553,12
58.607,54376,403548,416648,2547760,78560,45,23136,1233192120,12
59.91,54376,402424,416648,2548272,78560,45,23626,1233193722,12
60.268,54376,402492,416648,2547248,78560,45,23630,1233194152,12
61.614,54376,402492,416648,2547248,78560,45,23630,1233195779,12
62.961,54376,402364,416648,2546192,78560,44,23630,1233197390,12
64.288,54376,393748,416648,2546192,78560,44,23632,1233198987,12
