elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.135,52650,58604,58604,1869268,86656,26,26,1233020269,12
1.388,52650,262548,275796,2743760,85116,50,181,1233021776,12
2.678,52650,271868,301388,2776304,84764,51,312,1233023339,12
3.988,52650,436704,436704,2778864,84700,51,540,1233024932,12
5.35,52650,438096,438096,2781424,84668,51,771,1233026577,12
6.701,52650,441200,441200,2783984,84628,51,1006,1233028218,12
8.057,52650,444460,445080,2786800,84600,51,1256,1233029830,12
9.401,52650,448596,448596,2789360,84576,51,1502,1233031443,12
10.739,52650,455120,455816,2792688,83060,51,1767,1233033019,12
12.047,52650,495820,495820,2792688,83056,51,1967,1233034587,12
13.4,52650,502240,502580,2792688,83016,51,2161,1233036246,12
13.788,52650,502240,502580,2792688,83016,51,2161,1233036686,12
15.111,52650,489540,502580,2789520,83016,48,2163,1233038309,12
16.454,52650,489308,502580,2787408,83016,46,2164,1233039901,12
17.791,52650,489308,502580,2787408,83016,46,2164,1233041514,12
