elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,49559,47600,47600,1870668,91244,22,24,1550293539,12
1.393,49559,364292,364292,2494680,84744,50,400,1550295069,12
2.661,49559,375312,375312,2505176,84616,50,996,1550296597,12
3.944,49559,387596,387596,2512856,84564,50,1360,1550298163,12
5.268,49559,388812,388892,2515672,84556,50,1534,1550299731,12
6.606,49559,391920,391920,2518744,84548,50,1770,1550301340,12
7.94,49559,395256,395256,2521816,84544,50,2002,1550302932,12
9.254,49559,384380,400164,2507992,83056,50,2255,1550304552,12
10.625,49559,384416,400164,2508248,83040,50,2508,1550306198,12
11.979,49559,385952,400164,2508248,83040,50,2753,1550307826,12
13.321,49559,387544,400164,2508504,83040,50,3072,1550309432,12
13.69,49559,387544,400164,2508504,83040,50,3072,1550309889,12
15.019,49559,382232,400164,2506392,83040,48,3072,1550311468,12
16.342,49559,381676,400164,2503224,83040,45,3073,1550313074,12
17.683,49559,381676,400164,2503224,83040,45,3073,1550314682,12
