elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.146,51289,61916,61916,1876568,86516,26,31,1550394438,12
1.407,51289,366300,366300,2498252,84728,50,380,1550395943,12
2.675,51289,377064,377064,2508516,84604,50,974,1550397476,12
3.959,51289,389932,389936,2519532,84572,50,1533,1550399025,12
5.256,51289,397980,397980,2527468,84552,50,2021,1550400564,12
6.536,51289,406804,406804,2535156,84548,50,2520,1550402121,12
7.848,51289,416128,416128,2542080,84548,50,3032,1550403693,12
9.15,51289,389644,420836,2509824,83044,50,3519,1550405255,12
10.437,51289,391724,420836,2510600,83040,50,4044,1550406808,12
11.756,51289,388360,420836,2505752,83008,50,4572,1550408388,12
13.051,51289,391224,420836,2506012,82952,50,5107,1550409944,12
14.354,51289,394428,420836,2505412,82948,47,5630,1550411503,12
15.661,51289,401928,420836,2514124,82948,47,6163,1550413081,12
16.966,51289,403832,420836,2518708,82936,46,6643,1550414638,12
18.26,51289,405336,420836,2519236,82936,46,7182,1550416178,12
19.543,51289,414332,420836,2522256,78052,44,7714,1550417741,12
19.905,51289,414188,420836,2522256,78052,44,7728,1550418185,12
21.217,51289,414188,420836,2522256,78052,44,7728,1550419772,12
22.538,51289,414188,420836,2522256,78052,44,7728,1550421355,12
23.862,51289,414188,420836,2522256,78052,44,7728,1550422953,12
