elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.124,55393,47128,47128,1860848,91192,21,26,1550649372,12
1.409,55393,359024,364568,2484664,84756,49,414,1550650912,12
2.684,55393,369784,369784,2493368,84608,49,943,1550652426,12
3.96,55393,378836,379744,2502328,84556,49,1530,1550653961,12
5.232,55393,387752,387752,2507960,84540,49,2007,1550655499,12
6.529,55393,391636,391636,2511800,84536,49,2478,1550657040,12
7.798,55393,401920,401920,2520504,84512,49,3010,1550658582,12
9.132,55393,391348,406884,2506168,83032,49,3510,1550660176,12
10.461,55393,376912,406884,2493880,83024,49,4052,1550661786,12
11.754,55393,378412,406884,2490296,83024,49,4626,1550663321,12
13.041,55393,378312,406884,2489016,82952,49,5204,1550664861,12
14.324,55393,380752,406884,2488440,82944,47,5689,1550666412,12
15.616,55393,389004,406884,2489944,82932,46,6157,1550667974,12
16.936,55393,393648,406884,2509112,82928,45,6748,1550669554,12
18.229,55393,396128,406884,2509368,82928,45,7220,1550671116,12
19.547,55393,396224,406884,2508568,82928,44,7739,1550672686,12
20.841,55393,400196,406884,2509336,82928,44,8282,1550674242,12
22.154,55393,399792,406884,2510360,82928,44,8856,1550675818,12
23.485,55393,404292,408040,2510136,79228,45,9368,1550677413,12
24.772,55393,388160,408040,2510648,79228,45,9794,1550678956,12
26.074,55393,392292,408040,2510648,79228,45,10365,1550680524,12
27.378,55393,392968,408040,2510904,79228,45,10838,1550682079,12
28.684,55393,390028,408040,2511672,79228,45,11368,1550683643,12
29.989,55393,391568,408040,2512184,79228,45,11929,1550685204,12
31.274,55393,399412,408040,2514296,79228,47,12444,1550686797,12
32.616,55393,396104,408040,2514552,79228,47,13024,1550688356,12
33.921,55393,395056,408040,2513496,79228,46,13470,1550689930,12
35.224,55393,396564,408040,2514008,79228,46,14012,1550691483,12
36.517,55393,396744,408040,2514008,79228,46,14469,1550693043,12
37.835,55393,397528,408040,2514008,79228,46,15003,1550694631,12
39.126,55393,398548,408040,2512952,79228,45,15561,1550696172,12
40.429,55393,399932,408040,2513720,79228,45,16131,1550697759,12
41.752,55393,401536,408040,2513720,79228,45,16679,1550699321,12
43.063,55393,400520,408040,2514264,79204,46,17106,1550700895,12
44.343,55393,391928,408040,2513208,79204,45,17648,1550702427,12
45.656,55393,386120,408040,2511096,79204,43,17900,1550704026,12
45.999,55393,386120,408040,2511096,79204,43,17900,1550704477,12
47.347,55393,386128,408040,2512152,79204,44,17900,1550706061,12
48.668,55393,386128,408040,2512152,79204,44,17900,1550707662,12
50.012,55393,386128,408040,2512152,79204,44,17901,1550709291,12
