elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.12,52073,42800,42800,1869544,92168,21,24,1550462527,12
1.383,52073,243156,269908,2717880,85008,49,178,1550464026,12
2.67,52073,263068,295484,2798036,84744,50,320,1550465591,12
3.967,52073,439748,439748,2801364,84660,50,571,1550467166,12
5.285,52073,444172,444172,2804436,84608,50,819,1550468765,12
6.615,52073,446984,447420,2807764,84572,50,1076,1550470338,12
7.928,52073,450944,451400,2810836,84528,50,1325,1550471898,12
9.233,52073,456160,456160,2814164,84504,50,1525,1550473467,12
10.571,52073,459224,462068,2814164,83000,50,1763,1550475075,12
11.848,52073,496688,496688,2814164,82996,50,2032,1550476581,12
13.158,52073,504820,505512,2814164,82972,50,2374,1550478205,12
14.531,52073,499880,505512,2813108,82972,49,2517,1550479856,12
15.901,52073,495112,505512,2805652,82968,48,2764,1550481484,12
17.247,52073,494420,505512,2802740,82956,45,3009,1550483103,12
18.597,52073,496556,505512,2799700,82956,46,3268,1550484744,12
19.969,52073,492472,505512,2796852,82904,45,3546,1550486356,12
21.326,52073,492880,505512,2795796,82880,44,3797,1550488007,12
22.657,52073,537860,537860,2796052,82868,44,4079,1550489572,12
23.963,52073,542284,542284,2798356,82856,44,4444,1550491151,12
25.282,52073,542852,543168,2801716,82856,45,4587,1550492764,12
26.628,52073,543608,545068,2801972,82856,45,4859,1550494383,12
27.968,52073,544308,545252,2802228,82856,45,5123,1550495947,12
29.274,52073,546420,546480,2802740,82856,45,5372,1550497516,12
30.594,52073,547124,547124,2802196,82856,44,5610,1550499093,12
31.924,52073,548504,548504,2803764,82856,45,5809,1550500686,12
33.255,52073,547016,548504,2803764,82856,45,6064,1550502292,12
34.559,52073,553208,553240,2806324,82856,45,6360,1550503850,12
35.909,52073,548472,553660,2806324,82856,45,6596,1550505488,12
37.265,52073,550636,553660,2806836,82856,45,6830,1550507120,12
38.609,52073,550268,553660,2807092,82856,45,7067,1550508745,12
39.97,52073,551352,553660,2806292,82856,44,7327,1550510384,12
41.346,52073,552560,553956,2806292,82856,44,7580,1550512049,12
42.705,52073,554232,554456,2807060,82856,44,7840,1550513678,12
44.07,52073,555240,555652,2807316,82856,44,8112,1550515306,12
45.412,52073,554300,556912,2807572,82856,44,8345,1550516878,12
46.741,52073,558860,561536,2809876,82856,44,8655,1550518515,12
48.09,52073,563248,565780,2811188,82856,45,8896,1550520115,12
49.406,52073,564044,565780,2811444,82856,45,9160,1550521726,12
50.755,52073,564392,565936,2811700,82856,45,9426,1550523335,12
52.098,52073,566916,567180,2812468,82856,45,9690,1550524918,12
53.411,52073,571316,571316,2812980,79408,45,9942,1550526462,12
54.722,52073,552400,574776,2811444,79156,45,10142,1550528054,12
56.022,52073,549136,574776,2811444,79156,45,10411,1550529610,12
57.367,52073,556044,574776,2813492,79156,45,10756,1550531260,12
58.726,52073,551092,574776,2813492,79156,45,10905,1550532848,12
60.046,52073,552800,574776,2813492,79156,45,11147,1550534470,12
61.409,52073,551472,574776,2813492,79156,45,11403,1550536097,12
62.762,52073,553776,574776,2812692,79156,44,11655,1550537730,12
64.12,52073,558724,574776,2812692,79156,44,11906,1550539369,12
65.48,52073,555428,574776,2812692,79156,44,12163,1550540992,12
66.804,52073,554912,574776,2812692,79156,44,12437,1550542556,12
68.108,52073,558664,574776,2814484,79128,44,12803,1550544139,12
68.466,52073,558792,574776,2814484,79128,44,12803,1550544585,12
69.81,52073,558792,574776,2814484,79128,44,12803,1550546211,12
71.138,52073,558792,574776,2814484,79128,44,12803,1550547769,12
72.447,52073,558792,574776,2814484,79128,44,12803,1550549362,12
