elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,53942,47328,47328,1871120,91252,22,24,1550581025,12
1.415,53942,244056,271656,2740920,85028,49,183,1550582541,12
2.701,53942,243712,271656,2744248,84752,49,215,1550584097,12
3.992,53942,437776,437776,2746040,84708,49,530,1550585673,12
5.297,53942,441104,441104,2747832,84680,49,801,1550587213,12
6.655,53942,441592,441592,2749624,84640,49,887,1550588892,12
8.01,53942,444552,444776,2751416,84624,49,1202,1550590505,12
9.35,53942,447556,447556,2753464,84604,49,1450,1550592085,12
10.674,53942,446888,447968,2753464,84596,49,1538,1550593699,12
11.058,53942,446888,447968,2753464,84596,49,1538,1550594175,12
12.394,53942,446892,447968,2753464,84596,49,1538,1550595764,12
13.715,53942,446892,447968,2753464,84596,49,1539,1550597373,12
15.068,53942,437960,447968,2751352,84596,47,1540,1550598976,12
