elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.144,52893,63100,63100,1870332,86508,27,28,1550554874,12
1.412,52893,246384,271796,2735864,85032,51,183,1550556389,12
2.681,52893,445600,445748,2786036,84640,51,731,1550557932,12
3.963,52893,450332,450332,2790388,84580,51,874,1550559464,12
5.294,52893,454888,454888,2793716,84532,51,1057,1550561049,12
6.564,52893,458796,458796,2796020,84524,51,1455,1550562604,12
7.891,52893,470888,470888,2804980,84484,51,1903,1550564182,12
9.226,52893,473924,473924,2810356,84468,51,2238,1550565813,12
10.576,52893,465872,481292,2797300,83008,51,2487,1550567429,12
11.917,52893,465988,481292,2797556,82992,51,2738,1550569056,12
13.274,52893,467020,481292,2797556,82992,51,3086,1550570693,12
13.643,52893,467020,481292,2797556,82992,51,3086,1550571132,12
14.972,52893,465116,481292,2795444,82992,49,3087,1550572707,12
16.293,52893,461816,481292,2793332,82992,47,3087,1550574306,12
17.614,52893,461756,481292,2792276,82992,46,3087,1550575897,12
