elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.139,51512,65128,65128,1875388,86480,25,42,1550434688,12
1.414,51512,254896,271968,2742456,84796,49,193,1550436213,12
2.694,51512,460576,460812,2786740,84600,49,739,1550437750,12
3.981,51512,471188,471188,2795444,84500,49,1206,1550439289,12
5.261,51512,480836,481052,2803892,84456,49,1696,1550440854,12
6.573,51512,498052,501828,2809268,84444,49,2116,1550442434,12
7.905,51512,505220,507520,2814900,84440,49,2641,1550444015,12
9.216,51512,503188,519912,2806196,82948,49,3103,1550445598,12
10.544,51512,498100,519912,2801332,82944,49,3464,1550447182,12
11.858,51512,499296,519912,2801588,82944,49,3950,1550448772,12
13.163,51512,495720,519912,2794932,82940,49,4475,1550450321,12
14.499,51512,491292,519912,2792820,82940,47,4591,1550451962,12
14.862,51512,491292,519912,2792820,82940,47,4591,1550452417,12
16.203,51512,486804,519912,2790708,82940,45,4592,1550454007,12
17.533,51512,486772,519912,2789652,82940,44,4592,1550455600,12
18.874,51512,486772,519912,2789652,82940,44,4592,1550457206,12
