elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.13,8916,46812,46812,1871120,91384,22,24,1545173038,12
1.428,8916,364828,364836,2494680,84752,50,394,1545174583,12
2.7,8916,375608,375608,2505432,84624,50,989,1545176114,12
4.008,8916,391840,391840,2514648,84568,50,1366,1545177728,12
5.359,8916,391492,392928,2517464,84560,50,1577,1545179307,12
6.685,8916,394076,394212,2520536,84552,50,1791,1545180889,12
8.023,8916,397400,397400,2523608,84544,50,2028,1545182498,12
9.362,8916,386184,402212,2509528,83056,50,2286,1545184131,12
10.734,8916,386352,402212,2509784,83040,50,2537,1545185772,12
12.082,8916,388184,402212,2510040,83040,50,2793,1545187429,12
13.451,8916,392384,402212,2510040,78156,50,3125,1545189065,12
13.853,8916,392384,402212,2510040,78156,50,3125,1545189546,12
15.2,8916,385508,402212,2506872,78156,47,3126,1545191178,12
16.558,8916,379356,402212,2498360,78156,45,3130,1545192767,12
17.884,8916,379356,402212,2498360,78156,45,3130,1545194369,12
