elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.131,10899,47460,47460,1870668,91232,22,25,1545281330,12
1.431,10899,364536,365216,2495960,84720,50,401,1545282872,12
2.714,10899,377612,377812,2506200,84600,50,998,1545284406,12
3.968,10899,391076,391076,2517720,84580,50,1547,1545285919,12
5.237,10899,398936,398936,2524376,84560,50,2014,1545287459,12
6.52,10899,408668,408700,2532568,84560,50,2506,1545288983,12
7.802,10899,416812,416908,2540248,84560,50,2991,1545290543,12
9.136,10899,393896,423368,2510040,83068,50,3492,1545292137,12
10.447,10899,397576,423368,2509272,83044,50,4067,1545293701,12
11.758,10899,392660,423368,2506712,82980,50,4569,1545295294,12
13.077,10899,395724,423368,2507736,82968,50,5105,1545296865,12
14.381,10899,401624,423368,2510488,82960,48,5570,1545298434,12
15.692,10899,403392,423368,2511000,82956,48,6107,1545299998,12
16.993,10899,403652,423368,2510424,82956,46,6583,1545301583,12
18.302,10899,415744,423368,2512760,82956,47,7063,1545303137,12
19.623,10899,417008,423368,2551672,73700,47,7552,1545304723,12
20.966,10899,411300,423368,2550616,73700,46,8023,1545306390,12
21.357,10899,411300,423368,2550616,73700,46,8023,1545306830,12
22.687,10899,411300,423368,2550616,73700,46,8023,1545308419,12
24.016,10899,411300,423368,2550616,73700,46,8023,1545310025,12
25.343,10899,411300,423368,2550616,73700,46,8023,1545311611,12
