elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.145,6998,64556,64556,1869276,86460,26,28,1545065408,12
1.443,6998,171572,171572,2460376,84848,50,125,1545066978,12
2.749,6998,363252,363252,2477528,84760,50,353,1545068553,12
4.055,6998,364120,365844,2480600,84704,50,543,1545070149,12
5.369,6998,368180,368364,2483416,84668,50,793,1545071721,12
6.714,6998,373116,373116,2486744,84620,50,1043,1545073348,12
8.109,6998,381172,381856,2491352,84584,50,1280,1545075026,12
8.494,6998,381172,381856,2491352,84584,50,1280,1545075471,12
9.834,6998,381172,381856,2491352,84584,50,1280,1545077072,12
11.16,6998,381176,381856,2491352,84580,50,1280,1545078684,12
12.513,6998,381176,381856,2491352,84580,50,1280,1545080284,12
