elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.147,15106,66876,66876,1875388,86372,25,46,1545558726,12
1.464,15106,364192,364192,2494904,84724,49,423,1545560277,12
2.727,15106,380084,380084,2505912,84600,49,1020,1545561800,12
4.0,15106,391352,391948,2516152,84556,49,1548,1545563323,12
5.282,15106,401032,402692,2524600,84540,49,2071,1545564875,12
6.579,15106,414332,415524,2534072,84528,49,2540,1545566422,12
7.871,15106,425632,425632,2544312,84528,49,3077,1545567973,12
9.188,15106,417152,428568,2530232,83044,49,3557,1545569562,12
10.519,15106,412400,428568,2530488,83040,49,4108,1545571175,12
11.847,15106,391336,428568,2507448,83036,49,4691,1545572741,12
13.137,15106,388828,428568,2502072,82964,49,5084,1545574288,12
14.423,15106,392572,428568,2502008,82952,47,5624,1545575845,12
15.721,15106,398944,428568,2505304,82928,46,6067,1545577412,12
17.029,15106,402800,428568,2509880,82928,45,6642,1545578959,12
18.34,15106,404868,428568,2510648,82928,45,7151,1545580577,12
19.664,15106,407616,428568,2510872,82928,44,7742,1545582134,12
20.98,15106,406988,428568,2544440,79228,45,8240,1545583711,12
22.278,15106,399092,428568,2544696,78580,45,8678,1545585281,12
23.583,15106,398584,428568,2544696,78580,45,9246,1545586830,12
24.882,15106,401820,428568,2545208,78580,45,9713,1545588396,12
26.193,15106,400348,428568,2545208,78580,45,10275,1545589970,12
27.514,15106,403588,428568,2545720,78580,45,10855,1545591542,12
28.797,15106,404292,428568,2545720,78580,45,11297,1545593096,12
30.109,15106,404836,428568,2545720,78580,45,11858,1545594668,12
31.415,15106,407788,428568,2546776,78576,46,12311,1545596234,12
32.725,15106,409676,428568,2547288,78576,46,12888,1545597803,12
34.043,15106,410824,428568,2546232,78576,45,13350,1545599398,12
35.362,15106,396488,428568,2543416,78556,45,13948,1545600968,12
36.664,15106,398940,428568,2542360,78556,44,14532,1545602537,12
37.964,15106,399796,428568,2542360,78556,44,14950,1545604092,12
39.258,15106,400352,428568,2542872,78556,44,15524,1545605652,12
40.581,15106,400832,428568,2542872,78556,44,15988,1545607251,12
41.891,15106,401564,428568,2542872,78556,44,16513,1545608813,12
43.18,15106,402296,428568,2542872,78556,44,17032,1545610376,12
44.508,15106,404176,428568,2543640,78556,44,17483,1545611945,12
45.829,15106,405708,428568,2543896,78556,44,18069,1545613555,12
47.144,15106,408496,428568,2545464,78556,45,18505,1545615117,12
48.459,15106,407224,428568,2545496,78556,46,19077,1545616688,12
49.77,15106,399916,428568,2544440,78556,45,19562,1545618258,12
51.069,15106,400868,428568,2544696,78556,45,20152,1545619836,12
52.375,15106,400724,428568,2544696,78556,45,20677,1545621402,12
53.691,15106,401996,428568,2545208,78556,45,21120,1545622975,12
55.018,15106,403004,428568,2545208,78556,45,21704,1545624579,12
56.331,15106,403336,428568,2545208,78556,45,22140,1545626134,12
57.644,15106,404628,428568,2545208,78556,45,22715,1545627702,12
58.951,15106,404872,428568,2545208,78556,45,23157,1545629287,12
60.259,15106,406336,428568,2544184,78556,45,23737,1545630877,12
61.596,15106,409668,428568,2545752,78556,46,24308,1545632453,12
62.922,15106,409444,428568,2545752,78556,46,24337,1545634095,12
63.3,15106,404824,428568,2545752,78556,46,24338,1545634526,12
64.65,15106,399620,428568,2543640,78556,44,24339,1545636155,12
65.989,15106,399620,428568,2543640,78556,44,24339,1545637776,12
67.329,15106,399620,428568,2543640,78556,44,24339,1545639389,12
