elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.147,11794,62912,62912,1875388,86552,25,29,1545357592,12
1.409,11794,259252,272480,2732728,85072,49,186,1545359114,12
2.689,11794,259808,289452,2760120,84772,49,324,1545360675,12
4.002,11794,435752,435752,2763448,84688,49,561,1545362282,12
5.347,11794,439728,439728,2766776,84632,49,815,1545363906,12
6.683,11794,444120,444120,2770104,84600,49,1060,1545365512,12
8.036,11794,447652,448364,2772920,84556,49,1316,1545367091,12
9.35,11794,452252,452252,2776248,84532,49,1554,1545368665,12
10.659,11794,455668,457732,2776248,83024,49,1780,1545370226,12
11.958,11794,526636,526636,2776248,83020,49,2048,1545371796,12
13.294,11794,543736,544512,2776248,78112,49,2410,1545373423,12
14.668,11794,538500,544512,2774136,78112,47,2549,1545375087,12
16.05,11794,530948,544512,2766424,78108,46,2812,1545376738,12
17.428,11794,533224,544512,2765624,78096,45,3068,1545378411,12
18.814,11794,531372,544512,2761528,78096,45,3299,1545380055,12
20.181,11794,530524,544512,2758936,78040,44,3562,1545381690,12
21.548,11794,531624,544512,2758936,78020,44,3829,1545383304,12
22.874,11794,533604,544512,2759192,78004,44,4103,1545384894,12
24.179,11794,542244,544512,2761496,77996,44,4464,1545386495,12
25.568,11794,541564,545324,2764856,77996,45,4612,1545388151,12
26.932,11794,539524,545324,2765112,77996,45,4868,1545389802,12
28.299,11794,540760,545324,2765368,77996,45,5119,1545391431,12
29.619,11794,542312,545324,2765880,77996,45,5380,1545393019,12
30.985,11794,543324,545324,2766392,77996,45,5644,1545394661,12
32.318,11794,543544,545324,2766904,77996,45,5904,1545396249,12
33.651,11794,544160,545324,2766904,77996,45,6167,1545397839,12
34.988,11794,552612,552972,2798136,77996,45,6469,1545399421,12
36.311,11794,548676,553900,2798136,77996,45,6691,1545401019,12
37.64,11794,551076,553900,2798648,77996,45,6872,1545402607,12
38.972,11794,550440,553900,2798904,77996,45,7125,1545404211,12
40.329,11794,551580,553900,2798104,77996,44,7384,1545405852,12
41.697,11794,552476,553900,2798616,77996,44,7634,1545407514,12
43.072,11794,552576,553900,2799128,77996,44,7885,1545409155,12
44.422,11794,553520,554244,2799384,77996,44,8151,1545410796,12
45.764,11794,558864,562656,2801688,77996,44,8431,1545412362,12
47.089,11794,563856,564864,2802744,77996,45,8676,1545413987,12
48.468,11794,561420,564864,2803000,77996,45,8923,1545415643,12
49.822,11794,558864,564864,2803256,77996,45,9175,1545417282,12
51.216,11794,561676,564864,2803512,77996,45,9429,1545418942,12
52.594,11794,562272,564864,2804280,77996,45,9687,1545420589,12
53.953,11794,565640,570776,2803256,74296,45,9966,1545422228,12
55.343,11794,543616,570776,2803256,74296,45,10227,1545423891,12
56.699,11794,548092,570776,2805304,74296,45,10496,1545425488,12
58.051,11794,552400,570776,2805304,74296,45,10766,1545427137,12
59.416,11794,547808,570776,2805304,74296,45,11011,1545428785,12
60.794,11794,549368,570776,2804280,74296,45,11266,1545430425,12
62.152,11794,549332,570776,2803480,74296,44,11531,1545432043,12
63.517,11794,548956,570776,2803480,74296,44,11778,1545433710,12
64.906,11794,550472,570776,2803480,74296,44,12022,1545435392,12
66.309,11794,549632,570776,2803480,74296,44,12284,1545437030,12
67.634,11794,554820,570776,2805272,74296,44,12528,1545438604,12
68.988,11794,559200,570776,2805272,74296,44,12776,1545440279,12
69.386,11794,559200,570776,2805272,74296,44,12776,1545440737,12
70.706,11794,559200,570776,2805272,74296,44,12776,1545442321,12
72.036,11794,559200,570776,2805272,74296,44,12776,1545443930,12
73.371,11794,559200,570776,2805272,74296,44,12776,1545445525,12
