elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.147,13598,66432,66436,1876444,86428,26,46,1545477762,12
1.417,13598,262084,271928,2733784,85072,50,186,1545479259,12
2.682,13598,258920,271928,2737112,84764,50,215,1545480798,12
3.983,13598,453804,458332,2763476,84720,50,524,1545482383,12
5.298,13598,456352,459232,2765012,84692,50,827,1545483933,12
6.638,13598,459644,462836,2767060,84644,50,865,1545485568,12
7.978,13598,464504,464504,2768852,84628,50,1194,1545487187,12
9.314,13598,464876,466236,2770644,84608,50,1414,1545488766,12
10.648,13598,466092,466852,2770900,84604,50,1538,1545490395,12
11.018,13598,466092,466852,2770900,84604,50,1538,1545490837,12
12.347,13598,466096,466852,2770900,84604,50,1538,1545492441,12
13.672,13598,466096,466852,2770900,84604,50,1538,1545494039,12
15.029,13598,459980,466852,2768788,84604,48,1539,1545495647,12
