elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.147,12298,62992,62992,1875388,86512,25,43,1545451037,12
1.442,12298,268148,270344,2718392,85036,49,187,1545452560,12
2.718,12298,467112,467440,2758328,84636,49,739,1545454102,12
4.007,12298,476640,478524,2763704,84576,49,879,1545455644,12
5.332,12298,481644,481644,2767032,84528,49,1066,1545457255,12
6.647,12298,481460,481660,2769592,84520,49,1467,1545458821,12
7.939,12298,494636,494636,2779576,84480,49,1893,1545460380,12
9.276,12298,489068,500072,2769848,83004,49,2266,1545461998,12
10.611,12298,491084,500072,2769848,83000,49,2516,1545463642,12
11.96,12298,489160,500072,2769848,82996,49,2767,1545465229,12
13.304,12298,491440,500072,2770104,82988,49,3109,1545466854,12
13.696,12298,491440,500072,2770104,82988,49,3109,1545467335,12
15.015,12298,486368,500072,2767992,82988,47,3110,1545468913,12
16.361,12298,482116,500072,2765880,82988,45,3110,1545470518,12
17.693,12298,482072,500072,2764824,82988,44,3110,1545472110,12
