elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.151,11168,65364,65364,1874876,86496,25,45,1545329485,12
1.427,11168,258220,272848,2740408,85056,49,186,1545330997,12
2.693,11168,456604,456604,2747832,84636,49,740,1545332522,12
3.971,11168,467352,467352,2756536,84536,49,1265,1545334065,12
5.252,11168,479508,479508,2766520,84496,49,1680,1545335599,12
6.55,11168,484920,484920,2773176,84480,49,2102,1545337164,12
7.862,11168,497576,497576,2780088,84472,49,2667,1545338753,12
9.178,11168,485872,500708,2764984,83000,49,3109,1545340312,12
10.48,11168,478852,500708,2756792,82992,49,3498,1545341902,12
11.803,11168,476692,500708,2751416,82920,49,4072,1545343469,12
13.1,11168,479944,500708,2753208,82908,49,4485,1545345036,12
14.463,11168,478404,500708,2752632,82908,47,4779,1545346671,12
14.828,11168,478404,500708,2752632,82908,47,4779,1545347148,12
16.173,11168,474084,500708,2750520,82908,45,4780,1545348742,12
17.505,11168,474084,500708,2750520,82908,45,4780,1545350351,12
18.837,11168,473704,500708,2749464,82908,44,4780,1545351953,12
