elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.152,19188,60608,60608,1876212,86904,26,30,2744742687,12
1.41,19188,203904,363540,2491536,84644,39,368,2744744190,12
2.679,19188,380088,380088,2539248,84508,50,748,2744745723,12
3.947,19188,219188,388508,2551440,84472,39,1212,2744747242,12
5.231,19188,406984,408960,2572784,84456,50,1698,2744748795,12
6.522,19188,430452,430452,2590960,84432,50,2304,2744750330,12
7.804,19188,446920,446920,2604784,84432,50,2941,2744751878,12
9.11,19188,443088,455216,2594544,82956,50,3275,2744753460,12
10.461,19188,445712,455216,2594800,82948,50,3546,2744755116,12
10.836,19188,445712,455216,2594800,82948,50,3546,2744755549,12
12.173,19188,445712,455216,2594800,82948,50,3546,2744757168,12
13.503,19188,445712,455216,2594800,82948,50,3546,2744758769,12
14.845,19188,441108,455216,2592688,82948,48,3547,2744760378,12
