elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.135,18789,46904,46904,1870632,91632,22,28,2744720993,12
1.421,18789,368144,369152,2494160,84660,49,376,2744722510,12
2.688,18789,380612,380612,2504144,84500,49,833,2744724027,12
3.957,18789,395244,395304,2515664,84480,49,1335,2744725563,12
5.242,18789,406712,406712,2525136,84456,49,1756,2744727093,12
6.532,18789,414652,414652,2533840,84456,49,2214,2744728660,12
7.843,18789,425400,426448,2542288,84456,49,2684,2744730220,12
9.182,18789,427996,427996,2544336,84452,49,2785,2744731869,12
9.541,18789,427996,427996,2544336,84452,49,2785,2744732279,12
10.859,18789,428000,428000,2544336,84448,49,2785,2744733877,12
12.198,18789,428000,428000,2544336,84448,49,2785,2744735508,12
13.556,18789,408312,430416,2528464,82980,49,2795,2744737115,12
