elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.153,16836,60468,60468,1875156,86952,25,29,2744590826,12
1.404,16836,379064,379064,2488272,84636,49,394,2744592325,12
2.648,16836,381376,381420,2500304,84512,49,953,2744593826,12
3.91,16836,394884,394884,2508752,84476,49,1262,2744595345,12
5.161,16836,394184,396180,2511568,84468,49,1468,2744596845,12
6.466,16836,399084,399084,2514896,84468,49,1680,2744598412,12
7.772,16836,401872,401872,2518992,84448,49,1898,2744600000,12
9.099,16836,392172,408848,2504912,82968,49,2133,2744601616,12
10.451,16836,392084,408848,2505168,82960,49,2395,2744603250,12
11.809,16836,392704,408848,2505424,82960,49,2641,2744604856,12
13.111,16836,388408,408848,2494416,82916,49,3080,2744606409,12
14.408,16836,385640,408848,2489744,82888,47,3599,2744607939,12
15.685,16836,392800,408848,2492784,82880,46,4103,2744609479,12
17.012,16836,392464,408848,2492240,82880,45,4212,2744611118,12
17.382,16836,392464,408848,2492240,82880,45,4212,2744611552,12
18.674,16836,392464,408848,2492240,82880,45,4212,2744613086,12
19.994,16836,392376,408848,2491184,82880,44,4212,2744614696,12
21.32,16836,392376,408848,2491184,82880,44,4212,2744616285,12
