elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.134,19978,46976,46976,1870632,91624,22,27,2744784272,12
1.415,19978,366628,368212,2490608,84608,50,384,2744785807,12
2.7,19978,380792,380792,2502128,84500,50,965,2744787331,12
3.965,19978,392548,392880,2513136,84488,50,1512,2744788848,12
5.232,19978,402512,402680,2521840,84464,50,2010,2744790375,12
6.507,19978,413452,413452,2531056,84464,50,2484,2744791907,12
7.796,19978,421948,421948,2538480,84464,50,2988,2744793450,12
9.075,19978,391472,428560,2501872,82960,50,3508,2744794994,12
10.354,19978,394588,428560,2502128,82956,50,4013,2744796525,12
11.652,19978,390384,428560,2495984,82904,50,4528,2744798084,12
12.935,19978,391704,428560,2496496,82876,50,5025,2744799637,12
14.245,19978,398716,428560,2500272,82876,48,5540,2744801197,12
15.548,19978,404232,428560,2515120,82876,48,6027,2744802766,12
16.844,19978,404452,428560,2513776,82876,46,6548,2744804328,12
18.146,19978,428348,429556,2524304,74048,47,7021,2744805879,12
19.444,19978,421460,430580,2525840,73640,47,7547,2744807450,12
20.756,19978,418200,430580,2525840,73640,47,8079,2744809014,12
22.048,19978,419824,430580,2526352,73640,47,8581,2744810565,12
23.338,19978,420728,430580,2526352,73636,47,9113,2744812114,12
24.623,19978,423300,430580,2526864,73636,47,9577,2744813653,12
25.936,19978,415140,430580,2522256,73628,47,10122,2744815231,12
27.237,19978,415660,430580,2522256,73628,47,10627,2744816793,12
28.533,19978,423204,430580,2528656,73628,47,11108,2744818351,12
29.829,19978,423596,430580,2528912,73628,47,11695,2744819902,12
31.156,19978,420448,430580,2528912,73624,47,11758,2744821527,12
31.519,19978,415276,430580,2527856,73624,46,11758,2744821951,12
32.83,19978,415276,430580,2527856,73624,46,11758,2744823538,12
34.161,19978,413012,430580,2526800,73624,45,11759,2744825130,12
35.5,19978,413012,430580,2526800,73624,45,11759,2744826755,12
