elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.139,10500,47064,47064,1870632,91560,22,29,2744182358,12
1.435,10500,169728,169728,2453456,84736,49,126,2744183899,12
2.73,10500,364228,364744,2477008,84608,49,350,2744185463,12
4.034,10500,367156,367156,2480336,84564,49,543,2744187051,12
5.359,10500,371296,371296,2483920,84516,49,783,2744188635,12
6.707,10500,374800,375808,2488016,84492,49,1021,2744190280,12
8.058,10500,380216,381180,2515920,84472,49,1274,2744191897,12
9.422,10500,385900,385900,2519248,84460,49,1525,2744193520,12
10.75,10500,384836,391344,2514128,82972,49,1775,2744195119,12
12.083,10500,385876,391344,2514128,82972,49,2015,2744196680,12
13.43,10500,386436,391344,2514384,82960,49,2176,2744198336,12
14.795,10500,381252,391344,2505616,82956,47,2415,2744199972,12
16.135,10500,380308,391344,2504816,82956,46,2650,2744201588,12
17.518,10500,386008,391344,2500688,82936,45,2883,2744203249,12
18.896,10500,386468,391344,2500688,82936,45,3130,2744204891,12
20.24,10500,383212,391344,2497840,82900,44,3365,2744206513,12
21.573,10500,382044,391344,2497840,82896,44,3609,2744208089,12
22.953,10500,387476,391344,2499120,82896,44,3855,2744209759,12
24.287,10500,385064,391344,2499120,82876,44,4091,2744211357,12
25.609,10500,386608,391344,2501680,82864,44,4340,2744212921,12
26.909,10500,387632,391344,2501936,82864,44,4599,2744214477,12
28.23,10500,388388,391344,2518320,82860,44,4798,2744216062,12
29.547,10500,392916,395056,2519056,82860,43,5013,2744217690,12
30.905,10500,390880,395056,2519568,82860,43,5242,2744219300,12
32.234,10500,393200,395180,2519568,82860,43,5489,2744220910,12
33.614,10500,391432,395232,2520848,82856,43,5725,2744222559,12
34.979,10500,394056,395232,2521104,82844,43,5954,2744224195,12
36.31,10500,393608,395232,2521360,82844,43,6208,2744225776,12
37.625,10500,395432,395432,2521616,82844,43,6453,2744227318,12
38.959,10500,396012,396364,2523152,82844,43,6673,2744228972,12
40.301,10500,396700,398200,2523408,82844,43,6916,2744230588,12
41.646,10500,397140,398372,2523664,82844,43,7179,2744232167,12
42.942,10500,398476,398872,2523920,82844,43,7448,2744233701,12
44.221,10500,399640,399640,2523920,82844,43,7687,2744235244,12
45.546,10500,399556,401788,2525712,82844,43,7834,2744236842,12
46.858,10500,402264,403860,2526224,82844,43,8076,2744238468,12
48.22,10500,401760,403860,2526224,82844,43,8323,2744240095,12
49.585,10500,409392,409392,2527760,82844,43,8565,2744241720,12
50.953,10500,408764,409424,2528016,82844,43,8812,2744243367,12
52.301,10500,409572,414888,2527312,79148,45,9084,2744244941,12
53.59,10500,392860,414888,2527312,79148,45,9283,2744246494,12
54.92,10500,398816,414888,2528592,79148,45,9580,2744248104,12
56.244,10500,396780,414888,2528592,79148,45,9811,2744249673,12
57.555,10500,395236,414888,2528592,79148,45,10019,2744251241,12
58.863,10500,394696,414888,2528592,79148,45,10256,2744252815,12
60.188,10500,394164,414888,2527568,79148,45,10496,2744254430,12
61.51,10500,397648,414888,2529904,79148,46,10748,2744255992,12
62.836,10500,401992,414888,2530160,79148,46,10964,2744257586,12
64.155,10500,398112,414888,2529104,79148,45,11188,2744259165,12
65.484,10500,398976,414888,2530672,79148,46,11514,2744260816,12
65.871,10500,398976,414888,2530672,79148,46,11514,2744261275,12
67.22,10500,398900,414888,2529616,79148,45,11514,2744262891,12
68.522,10500,398900,414888,2529616,79148,45,11514,2744264417,12
69.797,10500,398900,414888,2529616,79148,45,11514,2744265978,12
