elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.126,18453,46840,46840,1870632,91640,22,28,2744697386,12
1.419,18453,272040,275120,2732752,84892,49,185,2744698903,12
2.7,18453,509336,509336,2821580,84504,49,642,2744700446,12
3.994,18453,506496,509860,2825676,84428,49,828,2744702033,12
5.359,18453,514336,515196,2829772,84412,49,1058,2744703687,12
6.731,18453,515400,518048,2833356,84380,49,1340,2744705293,12
8.031,18453,519340,522736,2839244,84372,49,1677,2744706860,12
9.339,18453,522872,529260,2832332,82896,49,2135,2744708436,12
10.702,18453,523260,529260,2832332,82892,49,2353,2744710109,12
11.091,18453,523260,529260,2832332,82892,49,2353,2744710560,12
12.436,18453,523260,529260,2832332,82892,49,2353,2744712189,12
13.776,18453,523260,529260,2832332,82892,49,2353,2744713799,12
15.113,18453,516796,529260,2830220,82892,47,2354,2744715390,12
