elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,19518,46828,46828,1870632,91652,22,28,2744765899,12
1.425,19518,367656,367656,2493904,84604,49,395,2744767429,12
2.703,19518,376880,377096,2503376,84488,49,891,2744768955,12
3.976,19518,399448,401076,2518480,84460,49,1376,2744770482,12
5.253,19518,410396,410396,2530512,84436,49,1889,2744772014,12
6.569,19518,411684,415020,2536144,84436,49,2273,2744773657,12
6.945,19518,411684,415020,2536144,84436,49,2273,2744774083,12
8.261,19518,411736,415020,2536144,84436,49,2273,2744775686,12
9.598,19518,411736,415020,2536144,84436,49,2273,2744777275,12
10.934,19518,411740,415020,2536144,84432,49,2273,2744778882,12
