elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,12280,47136,47136,1860360,91676,21,28,2744272754,12
1.443,12280,366012,369136,2502096,84592,49,396,2744274298,12
2.711,12280,381532,381532,2514896,84468,49,961,2744275813,12
3.983,12280,399424,399424,2530000,84448,49,1541,2744277334,12
5.269,12280,409020,409020,2538960,84432,49,2022,2744278881,12
6.596,12280,412248,412248,2541008,84432,49,2172,2744280530,12
6.973,12280,412248,412248,2541008,84432,49,2172,2744280987,12
8.319,12280,412300,412300,2541008,84432,49,2172,2744282584,12
9.648,12280,412300,412300,2541008,84432,49,2172,2744284187,12
10.981,12280,398808,414936,2525136,82960,49,2179,2744285783,12
