elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.135,13056,47188,47188,1870632,91580,22,26,2744319833,12
1.425,13056,261320,278988,2731760,84884,50,187,2744321350,12
2.698,13056,292016,321720,2804460,84620,50,327,2744322892,12
3.987,13056,470648,471308,2808044,84560,50,565,2744324464,12
5.302,13056,474936,475256,2811116,84504,50,812,2744326030,12
6.611,13056,481008,481008,2814956,84456,50,1031,2744327592,12
7.935,13056,485108,485108,2818796,84436,50,1229,2744329174,12
9.252,13056,488420,488420,2822636,84396,50,1463,2744330774,12
10.597,13056,473384,493964,2820332,82924,50,1726,2744332411,12
11.924,13056,521164,521164,2820332,82916,50,2001,2744333972,12
13.259,13056,523036,526476,2820332,82892,50,2274,2744335623,12
14.628,13056,503412,526476,2811564,82888,48,2435,2744337232,12
15.973,13056,503716,526476,2811820,82876,48,2689,2744338861,12
17.343,13056,500328,526476,2806124,82848,46,2937,2744340523,12
18.717,13056,501492,526476,2805132,82808,47,3201,2744342155,12
20.084,13056,502404,526476,2804588,82804,46,3458,2744343810,12
21.469,13056,503756,526476,2803532,82796,45,3713,2744345461,12
22.829,13056,548140,548140,2803788,82796,45,3979,2744347053,12
24.136,13056,552920,555104,2808140,82796,45,4265,2744348657,12
25.516,13056,553984,555104,2809452,82796,46,4402,2744350323,12
26.884,13056,554048,555124,2809708,82796,46,4662,2744351955,12
28.241,13056,555196,556460,2809964,82796,46,4906,2744353588,12
29.587,13056,556008,557016,2810732,82796,46,5154,2744355216,12
30.934,13056,556772,557612,2810988,82796,46,5420,2744356811,12
32.258,13056,558616,559076,2811244,82796,46,5668,2744358394,12
33.574,13056,561016,561016,2812812,82796,47,5931,2744359954,12
34.885,13056,566740,566740,2856076,82784,47,6222,2744361520,12
36.191,13056,563864,566944,2855020,82780,46,6372,2744363126,12
37.513,13056,565164,566944,2855532,82780,46,6619,2744364674,12
38.832,13056,565836,566944,2855788,82780,46,6848,2744366254,12
40.147,13056,567340,567340,2854988,82780,45,7057,2744367842,12
41.509,13056,564400,567408,2855756,82780,45,7302,2744369461,12
42.844,13056,567220,568480,2856012,82780,45,7555,2744371098,12
44.215,13056,568472,569196,2856268,82780,45,7804,2744372774,12
45.571,13056,574388,574388,2858828,82780,45,8113,2744374344,12
46.889,13056,574032,574752,2860396,82780,46,8293,2744375925,12
48.236,13056,574256,575548,2860396,82780,46,8528,2744377534,12
49.558,13056,575528,580336,2859116,79080,46,8769,2744379158,12
50.907,13056,557292,580336,2859116,79080,46,9035,2744380784,12
52.26,13056,556708,580336,2859116,79080,46,9291,2744382409,12
53.645,13056,557752,580336,2859116,79080,46,9546,2744384079,12
55.014,13056,558544,580336,2859116,79080,46,9804,2744385720,12
56.362,13056,563212,580336,2861420,79080,46,10049,2744387298,12
57.704,13056,561364,580336,2861420,79080,46,10262,2744388900,12
59.037,13056,561032,580336,2861420,79080,46,10495,2744390523,12
60.393,13056,561564,580336,2860396,79080,46,10740,2744392164,12
61.756,13056,561996,580336,2859340,79080,45,11009,2744393806,12
63.124,13056,562284,580336,2859340,79080,45,11271,2744395454,12
64.509,13056,562756,580336,2859340,79080,45,11532,2744397111,12
65.896,13056,564060,580336,2859340,79080,45,11795,2744398774,12
67.248,13056,569148,580336,2861644,79076,45,12045,2744400358,12
68.588,13056,564304,580336,2861644,79076,45,12260,2744401971,12
69.935,13056,555816,580336,2858892,79052,47,12517,2744403602,12
71.28,13056,557100,580336,2858892,79052,47,12774,2744405245,12
72.659,13056,557676,580336,2858892,79052,47,13023,2744406876,12
74.003,13056,557180,580336,2858892,79052,47,13266,2744408499,12
75.365,13056,557100,580336,2858892,79052,47,13519,2744410128,12
76.701,13056,558172,580336,2858892,79052,47,13769,2744411748,12
78.037,13056,560236,580336,2858892,79052,47,13978,2744413364,12
79.437,13056,562528,580336,2863308,79052,49,14234,2744415021,12
80.811,13056,563944,580336,2863564,79052,49,14485,2744416649,12
82.172,13056,563436,580336,2862508,79052,48,14740,2744418290,12
83.498,13056,564884,580336,2861708,79052,47,14990,2744419894,12
84.836,13056,564812,580336,2861164,79052,46,15252,2744421506,12
86.18,13056,565324,580336,2861420,79052,46,15517,2744423115,12
87.514,13056,566940,580336,2861676,79052,46,15789,2744424691,12
88.832,13056,566020,580336,2861676,79052,46,15984,2744426266,12
90.164,13056,571772,580336,2863500,79052,47,16235,2744427902,12
91.51,13056,563132,580336,2863756,79052,47,16497,2744429501,12
92.848,13056,562588,580336,2862700,79052,46,16765,2744431068,12
94.142,13056,565928,580336,2862700,79052,46,16964,2744432627,12
95.471,13056,566656,580336,2862700,78420,46,17215,2744434227,12
96.818,13056,564940,580336,2862700,78420,46,17449,2744435855,12
98.183,13056,566088,580336,2862700,78420,46,17694,2744437496,12
99.504,13056,566680,580336,2862700,78420,46,17964,2744439069,12
100.858,13056,572048,580336,2863212,78420,46,18230,2744440730,12
102.216,13056,571240,580336,2863212,78420,46,18443,2744442329,12
103.564,13056,568728,580336,2863212,78420,46,18656,2744443927,12
104.898,13056,569100,580336,2862156,78420,45,18888,2744445555,12
106.252,13056,569300,580336,2862156,78420,45,19137,2744447195,12
107.615,13056,569240,580336,2862156,78420,45,19397,2744448838,12
108.975,13056,569036,580336,2862156,78420,45,19646,2744450448,12
110.291,13056,570384,580336,2862700,78420,46,19918,2744452009,12
111.638,13056,570632,580336,2863212,78420,46,20199,2744453664,12
113.01,13056,569368,580336,2863212,78420,46,20340,2744455270,12
114.353,13056,568740,580336,2863212,78420,46,20577,2744456904,12
115.707,13056,570488,580336,2863212,78420,46,20817,2744458528,12
117.054,13056,571520,580336,2863212,78420,46,21076,2744460161,12
118.42,13056,571524,580336,2863212,78420,46,21337,2744461798,12
119.787,13056,570904,580336,2863212,78420,46,21578,2744463435,12
121.11,13056,571240,580336,2859116,78420,46,21837,2744464988,12
122.448,13056,574680,580336,2859628,78408,46,22115,2744466642,12
123.822,13056,573200,580336,2860684,78408,47,22267,2744468255,12
125.164,13056,574456,580336,2859884,78408,46,22517,2744469886,12
126.537,13056,571160,580336,2859084,78408,45,22768,2744471527,12
