elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.163,15471,73484,73484,1871380,85072,27,50,2744513605,12
1.434,15471,260212,275840,2767628,84892,51,189,2744515122,12
2.714,15471,267628,275840,2771212,84624,51,220,2744516685,12
4.015,15471,461204,461204,2789644,84576,51,451,2744518261,12
5.353,15471,463544,463544,2791692,84536,51,699,2744519881,12
6.671,15471,463372,465820,2793740,84500,51,828,2744521438,12
8.022,15471,465088,466440,2794508,84496,51,941,2744523067,12
8.371,15471,465140,466440,2794508,84496,51,941,2744523490,12
9.708,15471,465140,466440,2794508,84496,51,941,2744525132,12
11.064,15471,465148,466440,2794508,84492,51,942,2744526745,12
12.405,15471,465148,466440,2794508,84492,51,942,2744528356,12
