elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.127,13313,47340,47340,1870632,91560,22,28,2744492129,12
1.405,13313,251080,276912,2733808,84892,50,182,2744493635,12
2.67,13313,447752,448596,2768876,84512,50,669,2744495160,12
3.957,13313,451676,456080,2773740,84432,50,798,2744496734,12
5.255,13313,458436,458436,2776812,84412,50,1042,2744498298,12
6.582,13313,461124,462648,2779628,84384,50,1320,2744499871,12
7.877,13313,477880,477880,2790892,84368,50,1850,2744501420,12
9.222,13313,481832,481832,2793452,84360,50,1923,2744503058,12
9.585,13313,481832,481832,2793452,84360,50,1923,2744503507,12
10.919,13313,464208,484864,2778860,82900,50,1930,2744505135,12
12.276,13313,464208,484864,2778860,82900,50,1930,2744506738,12
13.611,13313,464384,484864,2778860,82892,50,1930,2744508336,12
