elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.181,51563,150656,150656,182248,68,28,53,5232080184,12
1.425,51563,326460,326460,1028836,68,52,194,5232081657,12
2.644,51563,518732,518732,1083844,68,51,366,5232083122,12
3.887,51563,543320,543320,1106116,68,51,633,5232084625,12
5.131,51563,549796,549796,1109412,68,50,903,5232086101,12
6.393,51563,560096,560096,1107204,68,45,1058,5232087631,12
7.684,51563,582728,582728,1115396,68,45,1401,5232089200,12
8.998,51563,560620,560620,1094660,68,45,1575,5232090819,12
10.332,51563,563960,563960,1095460,68,46,1833,5232092357,12
11.595,51563,571052,571052,1097252,68,46,2185,5232093879,12
12.869,51563,572924,572924,1096740,68,46,2336,5232095425,12
14.181,51563,582420,582420,1098244,68,45,2567,5232097011,12
15.502,51563,578504,578504,1098276,68,46,2828,5232098580,12
16.79,51563,595768,595768,1122852,68,46,3106,5232100122,12
18.072,51563,588612,588612,1119268,68,46,3331,5232101703,12
19.374,51563,628672,628672,1121316,68,46,3726,5232103224,12
20.658,51563,634460,634460,1153252,68,44,3902,5232104784,12
21.945,51563,634924,634924,1152260,68,45,4159,5232106333,12
23.223,51563,640952,640952,1153572,68,46,4482,5232107831,12
24.504,51563,637384,637384,1153572,68,46,4552,5232109394,12
