elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.168,52864,149784,149784,168460,68,29,51,5232276607,12
2.073,52864,358272,358272,1060100,68,53,225,5232278902,12
3.398,52864,554280,554280,1101284,68,52,498,5232280490,12
4.714,52864,554520,554520,1106916,68,52,657,5232282096,12
6.072,52864,565568,565568,1104900,68,45,819,5232283723,12
7.402,52864,572012,572012,1109508,68,45,1062,5232285320,12
8.735,52864,580032,580032,1113284,68,43,1209,5232286916,12
10.091,52864,562228,562228,1091844,68,45,1387,5232288552,12
11.534,52864,561676,561676,1092388,68,46,1654,5232290289,12
12.88,52864,568848,568848,1117508,68,47,1963,5232291865,12
14.19,52864,565860,565860,1119012,68,46,2139,5232293434,12
15.524,52864,565872,565872,1117700,68,45,2292,5232295069,12
16.851,52864,574680,574680,1123076,68,45,2544,5232296631,12
18.157,52864,576416,576416,1122340,68,46,2706,5232298210,12
19.485,52864,582892,582892,1121828,68,46,2883,5232299815,12
20.808,52864,584344,584344,1122820,68,45,3120,5232301370,12
22.104,52864,583876,583876,1122820,68,45,3278,5232302918,12
23.397,52864,586792,586792,1124132,68,46,3465,5232304500,12
24.735,52864,596028,596028,1126212,68,47,3791,5232306111,12
25.107,52864,595444,595444,1125156,68,46,3792,5232306842,12
26.719,52864,585880,585880,1124100,68,45,3793,5232308523,12
28.063,52864,585880,585880,1124100,68,45,3793,5232310109,12
29.409,52864,583716,583716,1121988,68,43,3794,5232311739,12
