elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.155,55145,147640,147640,164588,68,28,52,5232383933,12
1.417,55145,340300,340300,1065700,68,52,193,5232385424,12
2.657,55145,537752,537752,1083844,68,51,366,5232386905,12
3.907,55145,554896,554896,1089732,68,51,633,5232388424,12
5.187,55145,564044,564044,1087460,68,44,808,5232389958,12
6.483,55145,573456,573456,1093380,68,45,983,5232391569,12
7.798,55145,579528,579528,1099268,68,45,1190,5232393092,12
9.057,55145,571368,571368,1094948,68,46,1442,5232394603,12
10.363,55145,563396,563396,1095684,68,45,1669,5232396229,12
11.709,55145,567744,567744,1096228,68,46,1916,5232397799,12
13.02,55145,578564,578564,1102884,68,46,2124,5232399392,12
14.371,55145,569500,569500,1097700,68,44,2377,5232401006,12
15.7,55145,571328,571328,1096676,68,44,2536,5232402591,12
16.976,55145,579272,579272,1102884,68,46,2830,5232404109,12
18.29,55145,584928,584928,1103908,68,46,3053,5232405737,12
18.652,55145,584928,584928,1103908,68,46,3053,5232406171,12
19.982,55145,584928,584928,1103908,68,46,3053,5232407747,12
21.301,55145,578672,578672,1102852,68,45,3055,5232409353,12
22.641,55145,579188,579188,1104932,68,46,3056,5232410939,12
