elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.129,48717,132004,132004,172748,76,21,29,5231883746,12
1.429,48717,444484,444484,787716,68,53,358,5231885264,12
2.687,48717,456836,456836,801764,68,52,983,5231886791,12
3.959,48717,469424,469424,813540,68,52,1395,5231888336,12
5.281,48717,476932,476932,811556,68,46,1620,5231889902,12
6.558,48717,486168,486168,830500,68,46,1858,5231891430,12
7.872,48717,500228,500228,838436,68,46,1996,5231893039,12
9.185,48717,483576,483576,824100,68,46,2226,5231894618,12
10.512,48717,483548,483548,825156,68,47,2445,5231896216,12
11.818,48717,473756,473756,802628,68,47,2723,5231897747,12
13.129,48717,474124,474124,803684,68,48,2811,5231899345,12
