elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.153,57770,148084,148084,163532,68,27,44,5232441310,12
1.46,57770,447420,447420,786372,68,51,427,5232442886,12
2.757,57770,463488,463488,800164,68,50,1067,5232444441,12
4.061,57770,481764,481764,817316,68,50,1713,5232446004,12
5.336,57770,498340,498340,824548,68,44,2352,5232447525,12
6.599,57770,527856,527856,870916,68,45,2989,5232449047,12
7.894,57770,561080,561080,895236,68,45,3449,5232450614,12
9.202,57770,505660,505660,830948,68,44,4020,5232452173,12
10.489,57770,515308,515308,871908,68,44,4652,5232453708,12
11.772,57770,498496,498496,851460,68,45,5282,5232455248,12
13.06,57770,497076,497076,851460,68,45,5924,5232456810,12
14.373,57770,506996,506996,854124,68,43,6479,5232458379,12
15.693,57770,493276,493276,865252,68,44,6777,5232460027,12
