elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.166,42496,149312,149312,181192,68,27,48,5231617790,12
1.409,42496,244320,244320,758980,68,51,141,5231619271,12
2.657,42496,439060,439060,778404,68,50,409,5231620784,12
3.908,42496,445668,445668,803236,68,50,606,5231622284,12
5.17,42496,449176,449176,803620,68,46,838,5231623831,12
6.48,42496,464008,464008,808452,68,45,1059,5231625380,12
7.76,42496,465804,465804,812804,68,45,1284,5231626961,12
9.098,42496,447008,447008,791300,68,45,1522,5231628541,12
10.424,42496,451032,451032,796164,68,45,1775,5231630138,12
11.716,42496,459564,459564,795908,68,45,2033,5231631686,12
13.027,42496,457872,457872,793604,68,45,2270,5231633269,12
14.319,42496,461940,461940,795108,68,44,2509,5231634803,12
15.599,42496,463940,463940,799748,68,45,2811,5231636306,12
16.868,42496,466820,466820,798468,68,45,2978,5231637838,12
18.145,42496,474368,474368,803908,68,47,3203,5231639362,12
19.416,42496,467316,467316,799524,68,46,3427,5231640891,12
20.678,42496,466788,466788,797220,68,46,3724,5231642411,12
21.938,42496,474964,474964,827172,68,46,3920,5231643943,12
23.221,42496,474884,474884,825092,68,45,4159,5231645479,12
24.501,42496,472652,472652,824036,68,44,4394,5231647023,12
25.812,42496,475584,475584,825348,68,45,4647,5231648601,12
27.122,42496,481344,481344,828196,68,46,4809,5231650136,12
28.399,42496,483436,483436,828196,68,46,5033,5231651681,12
29.695,42496,482936,482936,827652,68,45,5266,5231653227,12
31.007,42496,497176,497176,828132,68,44,5553,5231654844,12
32.345,42496,500724,500724,830500,68,46,5817,5231656457,12
33.686,42496,498492,498492,832036,68,46,5959,5231658052,12
35.026,42496,505024,505024,831236,68,45,6211,5231659633,12
36.341,42496,511376,511376,833452,68,45,6525,5231661242,12
37.642,42496,491240,491240,862124,68,45,6752,5231662768,12
38.912,42496,470888,470888,861956,68,45,6990,5231664310,12
40.19,42496,470016,470016,861956,68,45,7206,5231665831,12
41.5,42496,479048,479048,863748,68,45,7397,5231667431,12
42.845,42496,477328,477328,862692,68,44,7635,5231669029,12
44.172,42496,476540,476540,862692,68,44,7881,5231670598,12
45.483,42496,476496,476496,880132,68,45,8131,5231672181,12
46.801,42496,487076,487076,881956,68,46,8348,5231673762,12
48.123,42496,495608,495608,880900,68,45,8589,5231675400,12
49.499,42496,496468,496468,880900,68,45,8822,5231677040,12
50.831,42496,499524,499524,880900,68,45,9081,5231678585,12
52.136,42496,501528,501528,880900,68,45,9322,5231680196,12
53.48,42496,505856,505856,880900,68,45,9555,5231681785,12
54.806,42496,506480,506480,880900,68,45,9799,5231683357,12
56.11,42496,507072,507072,881956,68,46,10024,5231684931,12
57.42,42496,510020,510020,883012,68,47,10273,5231686563,12
58.765,42496,511016,511016,883012,68,47,10513,5231688181,12
60.147,42496,510188,510188,879876,68,45,10754,5231689790,12
61.458,42496,514044,514044,879876,68,45,11096,5231691371,12
