elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.146,44877,141984,141984,177256,68,24,31,5231728102,12
1.389,44877,328092,328092,1033924,68,51,187,5231729592,12
2.641,44877,327656,327656,1064356,68,50,330,5231731097,12
3.892,44877,513684,513684,1068452,68,50,613,5231732613,12
5.154,44877,518116,518116,1070148,68,47,814,5231734132,12
6.446,44877,524988,524988,1073956,68,46,1077,5231735693,12
7.73,44877,530932,530932,1078020,68,45,1306,5231737227,12
9.027,44877,517912,517912,1062180,68,46,1550,5231738781,12
10.325,44877,521984,521984,1065252,68,46,1764,5231740327,12
11.608,44877,576112,576112,1065988,68,45,2060,5231741884,12
12.9,44877,580752,580752,1069316,68,45,2270,5231743423,12
14.19,44877,581752,581752,1066500,68,45,2509,5231744989,12
15.493,44877,580052,580052,1064708,68,45,2753,5231746562,12
16.8,44877,583644,583644,1068772,68,44,3003,5231748153,12
18.145,44877,582980,582980,1068068,68,46,3265,5231749761,12
19.457,44877,592064,592064,1080612,68,46,3494,5231751341,12
20.782,44877,627028,627028,1075492,68,46,3692,5231752897,12
22.112,44877,640836,640836,1111556,68,45,3935,5231754515,12
23.479,44877,639320,639320,1113380,68,46,4162,5231756167,12
24.84,44877,643636,643636,1113636,68,46,4391,5231757765,12
26.163,44877,640132,640132,1113092,68,45,4636,5231759337,12
27.471,44877,644512,644512,1114916,68,46,4895,5231760906,12
28.789,44877,641992,641992,1115428,68,46,5108,5231762493,12
30.093,44877,646572,646572,1115428,68,46,5363,5231764062,12
31.409,44877,660176,660176,1117444,68,45,5653,5231765699,12
32.755,44877,662456,662456,1118212,68,45,5808,5231767239,12
34.035,44877,666868,666868,1118212,68,45,6034,5231768795,12
35.335,44877,663616,663616,1118724,68,45,6267,5231770341,12
36.65,44877,667256,667256,1119020,68,45,6509,5231771912,12
37.928,44877,629344,629344,1120548,68,46,6790,5231773465,12
39.231,44877,631076,631076,1120548,68,46,6985,5231775031,12
40.532,44877,637396,637396,1123020,68,46,7254,5231776587,12
41.853,44877,643748,643748,1122820,68,45,7450,5231778160,12
43.156,44877,650040,650040,1122820,68,45,7691,5231779745,12
44.458,44877,649296,649296,1122820,68,45,7928,5231781310,12
45.772,44877,646128,646128,1122820,68,45,8196,5231782866,12
47.068,44877,651032,651032,1121764,68,44,8482,5231784433,12
48.361,44877,651332,651332,1123588,68,45,8684,5231785979,12
49.656,44877,652616,652616,1124644,68,46,8918,5231787554,12
50.985,44877,664932,664932,1126348,68,46,9216,5231789155,12
52.331,44877,669844,669844,1124068,68,44,9371,5231790740,12
53.629,44877,667924,667924,1124324,68,44,9628,5231792308,12
54.931,44877,670004,670004,1124324,68,44,9826,5231793858,12
56.215,44877,669064,669064,1124324,68,44,10035,5231795440,12
57.547,44877,647688,647688,1164324,68,46,10324,5231797006,12
58.863,44877,631584,631584,1164324,68,46,10543,5231798581,12
60.188,44877,638420,638420,1162284,68,45,10774,5231800175,12
61.516,44877,646504,646504,1162244,68,45,11048,5231801808,12
62.869,44877,650508,650508,1161188,68,44,11271,5231803411,12
64.209,44877,648940,648940,1161188,68,44,11507,5231805037,12
65.557,44877,650872,650872,1161188,68,44,11728,5231806612,12
66.864,44877,656820,656820,1163812,68,46,12011,5231808185,12
68.185,44877,656608,656608,1163812,68,46,12229,5231809765,12
69.477,44877,658948,658948,1163012,68,45,12499,5231811322,12
70.768,44877,666340,666340,1163268,68,45,12789,5231812892,12
72.072,44877,677928,677928,1162212,68,44,12970,5231814474,12
73.418,44877,677924,677924,1162468,68,44,13213,5231816082,12
74.782,44877,677992,677992,1162468,68,44,13432,5231817742,12
76.14,44877,678592,678592,1162724,68,44,13664,5231819353,12
77.477,44877,674536,674536,1166948,68,48,13982,5231820939,12
78.823,44877,639200,639200,1166948,68,48,14200,5231822585,12
80.189,44877,646584,646584,1168964,68,47,14436,5231824211,12
81.534,44877,656444,656444,1171300,68,48,14689,5231825818,12
