elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.155,45425,142476,142476,178312,68,25,33,5231832354,12
1.414,45425,330788,330788,1041124,68,52,191,5231833860,12
2.674,45425,532060,532060,1052868,68,51,715,5231835372,12
3.929,45425,543508,543508,1058244,68,51,852,5231836896,12
5.194,45425,547932,547932,1090340,68,46,1081,5231838412,12
6.482,45425,553472,553472,1095460,68,46,1341,5231840001,12
7.801,45425,576716,576716,1120356,68,48,1901,5231841538,12
9.123,45425,573744,573744,1110372,68,48,2089,5231843130,12
10.445,45425,562584,562584,1099812,68,46,2351,5231844709,12
11.725,45425,564780,564780,1101124,68,47,2674,5231846274,12
