elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.166,44667,150924,150924,182248,68,28,54,5231708427,12
1.419,44667,329380,329380,1041124,68,52,193,5231709907,12
2.673,44667,525524,525524,1050308,68,51,705,5231711422,12
3.929,44667,540496,540496,1062340,68,51,1185,5231712930,12
5.175,44667,561276,561276,1073156,68,45,1755,5231714428,12
6.436,44667,588252,588252,1117188,68,45,2178,5231715934,12
7.692,44667,616688,616688,1142820,68,46,2612,5231717459,12
8.976,44667,606720,606720,1131556,68,46,3073,5231718999,12
10.276,44667,569616,569616,1100548,68,45,3621,5231720609,12
11.614,44667,572876,572876,1096452,68,45,4116,5231722171,12
12.941,44667,575936,575936,1099076,68,47,4153,5231723801,12
