elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.117,29077,43664,43664,1869572,92420,21,30,3380812960,12
1.364,29077,256856,274204,2764528,84756,50,183,3380814421,12
2.592,29077,468228,468228,2777072,84436,50,350,3380815905,12
3.833,29077,472252,477492,2781168,85888,50,588,3380817405,12
5.082,29077,481840,481996,2785008,85776,50,788,3380818900,12
6.34,29077,488728,489728,2797296,85728,50,978,3380820426,12
7.625,29077,495640,495768,2802160,85692,50,1183,3380821960,12
8.893,29077,509148,513744,2856688,85684,50,1444,3380823477,12
10.21,29077,508672,513744,2859760,85660,50,1684,3380825074,12
11.488,29077,498816,513744,2850800,84100,50,1960,3380826597,12
12.782,29077,500704,513744,2850800,84096,50,2211,3380828162,12
14.062,29077,503724,513744,2851056,84088,50,2481,3380829689,12
15.328,29077,503952,513744,2842288,79192,48,2663,3380831208,12
16.594,29077,501632,513744,2837392,79192,47,2959,3380832734,12
17.863,29077,502364,514424,2837424,79124,48,3217,3380834233,12
