elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,27335,47152,47152,1869580,91380,21,31,3380722889,12
1.422,27335,367120,367120,2495988,84480,50,389,3380724434,12
2.707,27335,381344,381344,2508276,84356,50,967,3380725957,12
3.99,27335,395712,396040,2517236,84332,50,1246,3380727532,12
5.313,27335,398596,400724,2520820,84332,50,1495,3380729123,12
6.667,27335,402492,402492,2525172,84312,50,1739,3380730766,12
8.036,27335,415924,415924,2531316,84312,50,1928,3380732374,12
9.365,27335,400052,416032,2515700,82868,50,2188,3380733963,12
10.691,27335,401160,416032,2515956,82860,50,2453,3380735561,12
12.031,27335,393768,416032,2503156,82856,50,2768,3380737191,12
