elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.133,29893,45696,45696,1861412,91512,22,30,3380864205,12
1.439,29893,370032,370032,2491924,84436,51,402,3380865742,12
2.715,29893,382960,382960,2504212,84332,51,984,3380867259,12
3.977,29893,397020,397020,2516244,84308,51,1549,3380868780,12
5.259,29893,407156,407464,2525460,84296,51,2045,3380870332,12
6.538,29893,418756,418908,2533396,84296,51,2494,3380871865,12
7.818,29893,430620,430620,2542868,84296,51,2974,3380873403,12
9.103,29893,408244,434928,2541076,82840,51,3494,3380874960,12
10.407,29893,415660,434928,2541588,82836,51,3938,3380876513,12
11.702,29893,416548,434928,2528020,77936,51,4401,3380878064,12
13.009,29893,417964,434928,2528276,77888,51,4890,3380879628,12
14.311,29893,419372,434928,2528468,77884,49,5405,3380881198,12
15.613,29893,425136,434928,2533076,77884,49,5901,3380882760,12
16.905,29893,432684,434928,2533300,77880,48,6352,3380884303,12
18.197,29893,413652,441160,2565812,74252,48,6851,3380885854,12
19.51,29893,413024,441160,2570812,73600,47,7297,3380887466,12
