elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.145,22771,55360,55360,1876212,90240,26,34,3380450442,12
1.39,22771,172984,172984,2449172,84548,51,138,3380451935,12
2.658,22771,369476,369476,2477332,84440,51,380,3380453481,12
3.942,22771,373568,374108,2481172,84408,51,584,3380455025,12
5.237,22771,377188,377856,2484756,84360,51,824,3380456611,12
6.589,22771,381832,383288,2489876,84324,51,1050,3380458212,12
7.927,22771,389932,390804,2493716,84320,51,1304,3380459825,12
9.265,22771,394780,394920,2497300,84308,51,1547,3380461393,12
10.578,22771,387996,399732,2490132,82852,51,1828,3380462984,12
11.894,22771,390312,399732,2519060,82840,51,2063,3380464582,12
13.24,22771,390096,399732,2518004,82840,50,2315,3380466212,12
14.596,22771,386168,399732,2509748,82836,48,2575,3380467813,12
15.918,22771,389084,399732,2510260,82836,48,2927,3380469407,12
17.23,22771,389592,399732,2507188,82820,48,3166,3380470975,12
18.571,22771,393032,399732,2504852,82760,47,3316,3380472619,12
19.934,22771,392420,399732,2504052,82756,46,3539,3380474221,12
21.245,22771,395964,399732,2506100,82756,46,3896,3380475811,12
22.599,22771,403480,403480,2508660,82752,46,4065,3380477408,12
23.907,22771,403880,403880,2509172,82752,46,4319,3380478967,12
25.22,22771,405004,405004,2509684,82752,46,4595,3380480551,12
26.559,22771,408692,408692,2511476,82752,46,4837,3380482193,12
27.88,22771,407956,411192,2511988,82740,46,5086,3380483743,12
29.188,22771,411876,411924,2512244,82740,46,5344,3380485305,12
30.478,22771,410412,412668,2511444,82740,45,5597,3380486844,12
31.768,22771,423516,423732,2516116,82712,47,5846,3380488422,12
33.093,22771,433780,439624,2562620,82700,47,6107,3380490036,12
34.454,22771,439472,442100,2561652,77816,46,6350,3380491659,12
35.799,22771,437408,442100,2561908,77816,46,6613,3380493242,12
37.102,22771,448772,448772,2563700,77816,46,6865,3380494851,12
38.437,22771,406552,450448,2561396,74200,46,7115,3380496439,12
39.769,22771,405704,450448,2561652,74200,46,7371,3380498006,12
41.087,22771,406068,450448,2561908,74200,46,7619,3380499601,12
42.429,22771,411832,450448,2564212,74200,46,7879,3380501229,12
43.773,22771,413292,450448,2564212,74200,46,8131,3380502862,12
45.132,22771,412868,450448,2564212,74200,46,8374,3380504446,12
46.447,22771,419156,450448,2564724,73576,46,8727,3380506048,12
47.78,22771,429512,450448,2565492,73576,46,8976,3380507625,12
49.06,22771,436400,450448,2565492,73576,46,9147,3380509157,12
50.345,22771,437236,450448,2565492,73576,46,9399,3380510698,12
51.637,22771,438500,450448,2565492,73576,46,9706,3380512250,12
52.936,22771,447208,450448,2564948,73576,45,9868,3380513815,12
54.237,22771,447684,450448,2566004,73576,46,10125,3380515366,12
55.515,22771,448848,450448,2566004,73576,46,10361,3380516897,12
56.802,22771,449264,450448,2566004,73576,46,10622,3380518441,12
58.1,22771,454464,455396,2566516,73572,46,10839,3380520022,12
59.421,22771,411916,456092,2562932,73556,46,11110,3380521604,12
60.752,22771,407324,456092,2561876,73556,45,11379,3380523187,12
62.033,22771,409884,456092,2563444,73556,46,11723,3380524754,12
