elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.157,24887,62668,62668,1875160,86548,25,39,3380564188,12
1.425,24887,234160,274412,2757072,84716,41,191,3380565702,12
2.708,24887,313032,342420,2832400,84468,51,329,3380567258,12
3.999,24887,468592,487116,2836496,84396,51,574,3380568847,12
5.358,24887,446008,487116,2840592,84356,51,823,3380570459,12
6.724,24887,452932,487116,2844944,84308,51,1108,3380572064,12
8.035,24887,458584,487116,2848784,84268,51,1375,3380573643,12
9.331,24887,461564,487116,2852624,84260,51,1604,3380575207,12
10.603,24887,508124,508124,2848272,82800,51,1875,3380576723,12
11.884,24887,511888,513784,2848272,82788,51,2159,3380578268,12
13.193,24887,512448,515376,2847216,82788,50,2297,3380579848,12
14.509,24887,509800,516160,2840016,82772,49,2549,3380581425,12
15.823,24887,505432,516160,2834320,82732,47,2812,3380582993,12
17.096,24887,506344,516160,2830968,82712,45,3088,3380584503,12
18.383,24887,515076,516312,2832496,77820,46,3330,3380586074,12
19.678,24887,515688,517652,2831696,77796,45,3571,3380587645,12
20.988,24887,562324,562324,2874704,77764,45,3799,3380589189,12
22.3,24887,569648,569648,2877776,77764,45,4048,3380590806,12
23.66,24887,572644,574412,2878800,77764,45,4287,3380592434,12
25.016,24887,574452,575104,2879056,77764,45,4534,3380594038,12
26.352,24887,575652,575808,2879568,77764,45,4805,3380595627,12
27.653,24887,580600,580600,2880848,77764,45,5083,3380597191,12
28.994,24887,579320,580976,2880848,77764,45,5311,3380598798,12
30.293,24887,580784,580976,2881616,77764,45,5581,3380600361,12
31.59,24887,588904,588972,2883664,77764,45,5884,3380601946,12
32.919,24887,595040,595508,2886768,77764,46,6041,3380603529,12
34.243,24887,597340,598304,2886768,77764,46,6292,3380605118,12
35.571,24887,596080,599812,2885968,77764,45,6544,3380606676,12
36.841,24887,598168,599812,2886480,77772,45,6803,3380608198,12
38.12,24887,562764,609592,2884944,74156,45,7080,3380609769,12
39.444,24887,565964,609592,2884944,74156,45,7325,3380611363,12
40.76,24887,564704,609592,2886480,74156,45,7559,3380612946,12
42.111,24887,579168,609592,2887760,74156,45,7814,3380614600,12
43.504,24887,581928,609592,2888784,74156,45,8083,3380616260,12
44.875,24887,581680,609592,2888784,74156,45,8341,3380617876,12
46.219,24887,582936,609592,2888784,74156,45,8605,3380619458,12
47.519,24887,589380,609592,2889296,74156,45,8892,3380621010,12
48.801,24887,590136,609592,2890864,74156,46,9124,3380622590,12
50.081,24887,591984,609592,2890864,74156,46,9402,3380624090,12
51.35,24887,603604,609592,2892112,73516,45,9697,3380625609,12
52.615,24887,607912,609592,2892112,73516,45,9812,3380627125,12
53.9,24887,610332,611112,2891056,73516,44,10059,3380628666,12
55.182,24887,608924,611112,2891056,73516,44,10312,3380630216,12
56.46,24887,576732,611112,2888272,73512,45,10582,3380631742,12
57.724,24887,577512,611112,2888784,73512,45,10866,3380633259,12
59.039,24887,576928,611112,2888784,73512,45,11073,3380634855,12
60.312,24887,577708,611112,2888784,73512,45,11353,3380636379,12
61.592,24887,587288,611112,2889296,73512,45,11650,3380637930,12
62.895,24887,592092,611112,2889296,73512,45,11826,3380639471,12
64.193,24887,593384,611112,2889296,73512,45,12056,3380641049,12
65.496,24887,593520,611112,2889296,73512,45,12324,3380642610,12
66.794,24887,593976,611112,2889552,73512,45,12578,3380644160,12
68.077,24887,601320,611112,2890320,73512,45,12909,3380645696,12
69.368,24887,601908,611112,2890576,73512,45,13097,3380647251,12
70.669,24887,597324,611112,2887984,73512,44,13341,3380648821,12
72.009,24887,580832,611112,2888496,73512,44,13646,3380650432,12
73.339,24887,590688,611112,2889552,73512,45,13835,3380652072,12
74.713,24887,590960,611112,2889552,73512,45,14090,3380653699,12
76.069,24887,591424,611112,2889552,73512,45,14341,3380655345,12
77.436,24887,589284,611112,2889552,73512,45,14592,3380656965,12
78.793,24887,600316,611112,2891120,73512,46,14897,3380658579,12
80.141,24887,601472,611112,2891120,73512,46,15154,3380660230,12
81.497,24887,603752,611112,2890576,73512,45,15392,3380661849,12
82.849,24887,612304,617332,2892656,73512,46,15647,3380663447,12
