elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.22,25019,73204,73204,1875672,85016,25,57,3380670445,12
1.496,25019,265992,280108,2767312,84548,49,201,3380671916,12
2.735,25019,467328,467328,2776528,84356,49,685,3380673422,12
4.018,25019,473960,473960,2781904,84288,49,803,3380674997,12
5.369,25019,477208,478708,2785744,84252,49,1045,3380676627,12
6.708,25019,486752,486752,2793936,84240,49,1426,3380678202,12
8.016,25019,502812,502812,2799824,84232,49,1884,3380679790,12
9.354,25019,498664,514292,2818512,82764,49,2102,3380681373,12
10.654,25019,499568,514292,2818512,82760,49,2361,3380682934,12
11.939,25019,499804,514292,2818768,82760,49,2675,3380684485,12
13.285,25019,497564,514292,2818768,82760,49,2702,3380686145,12
