elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.12,24442,43260,43260,1869572,92516,21,30,3380542630,12
1.39,24442,262280,277136,2731764,84764,50,185,3380544132,12
2.647,24442,463816,463816,2777328,84360,50,675,3380545644,12
3.913,24442,475984,475984,2788848,84260,50,1132,3380547158,12
5.204,24442,493772,493772,2801392,84240,50,1648,3380548717,12
6.474,24442,518508,518508,2809328,84212,50,1997,3380550249,12
7.786,24442,528376,528376,2818800,84212,50,2377,3380551819,12
9.088,24442,523432,539924,2806000,82772,50,2896,3380553401,12
10.408,24442,508832,539924,2819312,82764,50,3279,3380554976,12
11.705,24442,505668,539924,2815472,82744,50,3721,3380556521,12
12.998,24442,511392,539924,2815984,82716,50,4112,3380558082,12
14.334,24442,504148,539924,2815152,82708,48,4340,3380559710,12
