elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,4503,45088,45088,1869572,91904,21,31,3386039259,12
1.423,4503,257680,273540,2723572,84768,50,188,3386040757,12
2.692,4503,458632,465888,2795504,84448,50,370,3386042314,12
4.001,4503,480104,480104,2812144,84372,50,604,3386043889,12
5.322,4503,492824,492824,2817008,84304,50,790,3386045512,12
6.702,4503,498484,499320,2821616,84268,50,968,3386047166,12
8.05,4503,504152,504400,2825712,84256,50,1230,3386048757,12
9.378,4503,510836,515604,2828272,84248,50,1594,3386050325,12
10.684,4503,505228,516572,2822128,82796,50,1777,3386051919,12
12.04,4503,502660,516572,2822128,82792,50,2079,3386053578,12
13.379,4503,507716,516572,2822384,82780,50,2293,3386055123,12
14.674,4503,501736,516572,2814416,82776,49,2487,3386056694,12
15.981,4503,499524,516572,2809776,82776,48,2732,3386058257,12
17.304,4503,505524,516572,2847888,82740,47,3033,3386059843,12
18.656,4503,500904,516572,2849712,82736,48,3185,3386061498,12
