elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.163,2479,73208,73208,1870072,85016,26,52,3385947219,12
1.449,2479,370904,370924,2479604,84464,50,411,3385948753,12
2.725,2479,381624,381932,2491892,84340,50,991,3385950290,12
4.017,2479,394124,398696,2525428,84316,50,1269,3385951859,12
5.366,2479,398012,399760,2529268,84316,50,1507,3385953501,12
6.737,2479,403080,403492,2533620,84296,50,1742,3385955131,12
8.09,2479,412544,416852,2539764,84296,50,1943,3385956728,12
9.404,2479,400736,416852,2523892,82852,50,2199,3385958315,12
10.741,2479,401112,416852,2524148,82848,50,2483,3385959916,12
12.075,2479,393468,416852,2510836,82844,50,2774,3385961523,12
