elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.137,5281,46888,46892,1869592,91480,21,32,3386090871,12
1.434,5281,373248,374884,2490868,84436,50,399,3386092424,12
2.731,5281,386068,386252,2531572,84332,50,971,3386093959,12
4.018,5281,400088,400088,2543860,84312,50,1551,3386095530,12
5.342,5281,410632,410632,2553076,84300,50,2049,3386097093,12
6.631,5281,424096,424096,2563060,84300,50,2536,3386098658,12
7.935,5281,432172,432172,2570484,84300,50,3046,3386100222,12
9.232,5281,408444,437260,2540020,82844,50,3512,3386101779,12
10.521,5281,419284,437260,2540532,82840,50,3966,3386103326,12
11.846,5281,419212,437260,2526964,77896,50,4403,3386104914,12
13.131,5281,419752,437260,2527220,77892,50,4913,3386106458,12
14.418,5281,424120,437260,2560948,77892,48,5395,3386107973,12
15.688,5281,428440,437260,2564788,77892,48,5890,3386109516,12
16.973,5281,439000,439000,2566068,77888,48,6301,3386111054,12
18.254,5281,420232,443892,2565812,74252,48,6829,3386112612,12
19.569,5281,416280,443892,2569756,73632,46,7282,3386114205,12
