elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.138,62547,46328,46328,1869572,91504,21,32,3385672610,12
1.46,62547,168688,169564,2464756,84556,50,132,3385674176,12
2.764,62547,368912,368912,2495220,84464,50,378,3385675749,12
4.078,62547,370484,371076,2499060,84424,50,574,3385677367,12
5.441,62547,374900,374900,2502644,84380,50,848,3385678940,12
6.735,62547,386576,386576,2507252,84344,50,1079,3385680483,12
8.022,62547,386192,387144,2510836,84336,50,1308,3385682052,12
9.343,62547,391548,391548,2514420,84328,50,1598,3385683634,12
10.64,62547,388452,395116,2507252,82872,50,1884,3385685189,12
11.967,62547,388608,395116,2507508,82860,50,2080,3385686806,12
13.316,62547,392012,395116,2507508,82860,50,2339,3385688403,12
14.631,62547,386960,395116,2499508,82856,48,2599,3385689994,12
15.963,62547,392124,395676,2498004,82832,49,2929,3385691600,12
17.267,62547,395552,395700,2495892,82832,47,3177,3385693171,12
18.627,62547,395068,397816,2494356,82776,47,3330,3385694826,12
19.99,62547,396904,398504,2493812,82768,46,3598,3385696423,12
21.331,62547,401572,401572,2496628,82764,46,3937,3385698059,12
22.667,62547,408684,408684,2531444,82764,46,4166,3385699614,12
23.963,62547,408880,408880,2531700,82764,46,4417,3385701186,12
25.256,62547,409632,410316,2531956,82764,46,4660,3385702721,12
26.582,62547,411320,413148,2534004,82764,46,4857,3385704329,12
27.919,62547,416392,416392,2534516,82764,46,5113,3385705927,12
29.243,62547,417068,417068,2534772,82764,46,5372,3385707506,12
30.55,62547,412120,417380,2535028,82764,46,5653,3385709105,12
31.901,62547,422340,422340,2538388,82760,47,5863,3385710702,12
33.234,62547,432844,432844,2539668,77876,47,6118,3385712355,12
34.603,62547,436156,437924,2538868,77876,46,6373,3385713973,12
35.948,62547,439444,439444,2539380,77876,46,6679,3385715557,12
37.271,62547,447500,447820,2541596,77876,46,6909,3385717147,12
38.589,62547,409944,457536,2579828,74248,46,7191,3385718729,12
39.909,62547,409728,457536,2580340,74248,46,7425,3385720309,12
41.226,62547,410136,457536,2580340,74248,46,7696,3385721878,12
42.551,62547,415200,457536,2582644,74248,46,7922,3385723505,12
43.906,62547,415796,457536,2582644,74248,46,8182,3385725109,12
45.237,62547,416932,457536,2582644,74248,46,8451,3385726692,12
46.543,62547,415272,457536,2583412,73620,46,8783,3385728285,12
47.855,62547,424144,457536,2583924,73620,46,9051,3385729845,12
49.153,62547,431648,457536,2583924,73620,46,9231,3385731423,12
50.474,62547,432000,457536,2583924,73620,46,9494,3385733026,12
51.812,62547,433408,457536,2583924,73620,46,9840,3385734617,12
53.135,62547,442080,457536,2584436,73620,46,10004,3385736224,12
54.479,62547,441872,457536,2583380,73620,45,10271,3385737850,12
55.864,62547,443300,457536,2583380,73620,45,10527,3385739490,12
57.212,62547,445144,457536,2583892,73620,45,10811,3385741100,12
58.524,62547,445168,457536,2581620,73600,46,11072,3385742686,12
59.878,62547,408744,457536,2581620,73600,46,11319,3385744306,12
61.247,62547,407532,457536,2580596,73600,46,11564,3385745958,12
62.61,62547,410984,457536,2582164,73600,47,11810,3385747581,12
