elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.132,64340,47420,47420,1870636,91320,22,31,3385786990,12
1.403,64340,264724,274244,2733812,84776,50,183,3385788506,12
2.681,64340,305996,335500,2831344,84476,50,319,3385790054,12
3.984,64340,449120,479160,2835440,84404,50,549,3385791632,12
5.324,64340,446044,479160,2839280,84364,50,791,3385793263,12
6.692,64340,449036,479160,2843632,84312,50,1052,3385794875,12
8.039,64340,455616,479160,2847728,84272,50,1326,3385796494,12
9.382,64340,458356,479160,2851568,84260,50,1584,3385798114,12
10.705,64340,482964,482964,2846960,82804,50,1867,3385799690,12
12.028,64340,505436,508124,2846960,82800,50,2153,3385801296,12
13.375,64340,510004,510004,2846960,82800,50,2316,3385802890,12
14.698,64340,505036,510356,2840528,82784,49,2579,3385804477,12
16.012,64340,502612,510356,2835888,82744,48,2846,3385806051,12
17.319,64340,509276,510356,2832500,77848,46,3159,3385807621,12
18.635,64340,511352,513200,2833808,77832,47,3346,3385809200,12
19.972,64340,512308,513200,2832752,77832,46,3577,3385810798,12
21.285,64340,564436,564436,2836592,77804,46,3857,3385812381,12
22.618,64340,566064,568896,2837872,77796,46,4058,3385813971,12
23.934,64340,571020,571020,2838896,77796,46,4321,3385815554,12
25.234,64340,567712,571020,2839152,77796,46,4592,3385817110,12
26.539,64340,569580,571020,2839664,77784,46,4863,3385818694,12
27.846,64340,573904,573904,2840944,77784,46,5154,3385820263,12
29.191,64340,573908,573908,2840944,77784,46,5382,3385821866,12
30.485,64340,575440,575440,2841712,77784,46,5649,3385823423,12
31.793,64340,588588,588768,2885912,77784,46,5940,3385825026,12
33.142,64340,587640,590396,2887824,77784,47,6107,3385826609,12
34.473,64340,592192,592192,2888080,77784,47,6372,3385828197,12
35.769,64340,592216,593132,2887024,77784,46,6638,3385829762,12
37.082,64340,594780,594780,2888048,77784,46,6873,3385831350,12
38.42,64340,561064,602260,2886000,74160,46,7202,3385832944,12
39.757,64340,560760,602260,2886256,74156,46,7450,3385834553,12
41.095,64340,571428,602260,2888088,74152,46,7698,3385836137,12
42.411,64340,571424,602260,2889072,74152,46,7938,3385837782,12
43.788,64340,575652,602260,2889840,74152,46,8178,3385839405,12
45.142,64340,576924,602260,2889840,74152,46,8460,3385841015,12
46.47,64340,577528,602260,2889840,74152,46,8743,3385842605,12
47.782,64340,582804,602260,2890352,74152,46,9030,3385844179,12
49.119,64340,591536,602260,2891920,74152,47,9266,3385845787,12
50.424,64340,584372,602260,2892176,74152,47,9531,3385847354,12
51.736,64340,593244,602260,2893168,73516,46,9825,3385848949,12
53.074,64340,601032,602260,2893168,73516,46,10005,3385850562,12
54.427,64340,565104,603708,2889072,73508,46,10267,3385852183,12
55.797,64340,563856,603708,2889072,73508,46,10526,3385853837,12
57.155,64340,564016,603708,2889072,73508,46,10770,3385855439,12
58.489,64340,567472,603708,2889584,73508,46,11054,3385857055,12
59.852,64340,569040,603708,2889584,73508,46,11307,3385858687,12
61.191,64340,573224,603708,2889072,73508,46,11550,3385860319,12
62.556,64340,586020,603708,2889240,73508,46,11840,3385861942,12
63.881,64340,592744,603708,2889072,73508,46,12070,3385863501,12
65.18,64340,590556,603708,2889328,73508,46,12321,3385865087,12
66.518,64340,591108,603708,2889584,73508,46,12563,3385866694,12
67.85,64340,596660,603708,2890392,73508,46,12868,3385868290,12
69.201,64340,568960,603708,2889872,73508,47,13126,3385869929,12
70.559,64340,566328,603708,2889872,73508,47,13391,3385871513,12
71.862,64340,575056,603708,2890384,73508,47,13633,3385873078,12
73.225,64340,582784,603708,2890384,73508,47,13817,3385874719,12
74.576,64340,586988,603708,2890384,73508,47,14060,3385876347,12
75.925,64340,586948,603708,2890384,73508,47,14315,3385877957,12
77.252,64340,587320,603708,2890384,73508,47,14594,3385879543,12
78.567,64340,595348,603708,2891952,73508,48,14915,3385881123,12
79.912,64340,597056,603708,2892208,73508,48,15160,3385882738,12
81.219,64340,597520,603708,2891152,73508,47,15428,3385884311,12
82.53,64340,608068,608068,2891632,73508,46,15728,3385885904,12
83.901,64340,606644,614596,2890576,73508,45,15775,3385887580,12
