elapsed_seconds,pid,vm_rss_kb,vm_hwm_kb,vm_data_kb,vm_swap_kb,threads,process_cpu_ticks,system_cpu_ticks,logical_cpus
0.146,64937,48556,48556,1870608,91348,22,32,3385894002,12
1.426,64937,261016,278140,2730708,84764,49,188,3385895519,12
2.703,64937,456948,457808,2778576,84364,49,674,3385897052,12
3.996,64937,462840,462840,2783696,84296,49,801,3385898646,12
5.347,64937,469364,469364,2787792,84260,49,1056,3385900285,12
6.694,64937,479864,479868,2794448,84252,49,1415,3385901855,12
8.002,64937,490332,490332,2801872,84240,49,1916,3385903437,12
9.368,64937,488820,505580,2791888,82780,49,2120,3385905127,12
10.77,64937,490108,505580,2791888,82776,49,2381,3385906748,12
12.078,64937,490116,505580,2792144,82776,49,2733,3385908308,12
13.42,64937,487868,505580,2792144,82776,49,2772,3385909952,12
